Tipo,Nombre,Año de Estreno,Mes de Estreno,ID de la Película
Short,Color Rhapsodie,2021,2,tt0040241
Short,Abstronic,2021,2,tt0044326
Short,Mandala,2021,2,tt0044879
Short,Aufsätze,1963,10,tt0056840
Short,Cat Food,2021,5,tt0188489
Short,The International Style,2021,3,tt0195838
Short,"Oak, Ivy, and Other Dead Elms",2021,3,tt0195957
Short,"Hiroshima Nagasaki August, 1945",2021,3,tt0277013
Short,Rentrée des classes,1955,,tt0292206
Short,Feuerhaus,2021,2,tt0322270
Short,La-Re-Mi-La-Fa-Re-Mi-Do-Re-Fa-Do-Mi Fa-Re-Mi-Fa-Mi-La-Do-Mi-Fa-Mi-Re-Fa Mi-Fa-Mi-Re-La-Fa-Mi-Re-Do-Mi-Re-Mi Fa-Re-Mi-Fa-Mi-Do-Re-Mi-Re-Fa-Mi-La,2021,6,tt0448012
Short,Spirals,2021,2,tt0466988
Short,"Audley Range School, Blackburn",1905,3,tt0471083
Short,Milkshake,2021,12,tt10011052
Short,Avenues,2021,1,tt10015086
Short,Willie Lynch,2021,9,tt10016454
Short,If I Only had a Name,2021,2,tt10020060
Short,UNHEIMLICH,2021,10,tt10020772
Short,La metafísica del asesino,2021,9,tt10024902
Short,The Sacrifice,2021,4,tt10027654
Short,Garden of Paradise,2021,12,tt10033714
Short,Bad Rap Rising,2021,3,tt10036186
Short,Welcome to Mumbai,2021,3,tt10040326
Short,Casanova,2021,9,tt10043922
Short,The Nod,2021,5,tt10046798
Short,LO2SS,2021,8,tt10048746
Short,Block A-10,2021,9,tt10048726
Short,40 Nickels,2021,3,tt10049134
Short,The Long Halloween,2021,10,tt10049710
Short,My Dinner with Chuck,2021,10,tt10066142
Short,Taken for Granted,2021,5,tt10074108
Short,My Father's House Has A Window,2021,5,tt10089518
Short,Fighter: a boxing story,2021,1,tt10090080
Short,Once Upon a Sea,2021,3,tt10106202
Short,Parches,2021,5,tt10112608
Short,Gathering Voices,2021,,tt10115066
Short,Sour Milk,2021,12,tt10116030
Short,The Worst Day of My Life,2021,1,tt10116000
Short,34 Carmine St.,2021,10,tt10120628
Short,Miss Fortunate,2021,3,tt10123112
Short,Szembesülés,2021,10,tt10126104
Short,Inside the Notebook,2021,1,tt10121942
Short,Girls Are Strong Here,2021,2,tt10130050
Short,Burn,2021,4,tt10136966
Short,God in the Sky,2021,11,tt10137298
Short,Une journée ordinaire,2021,8,tt10138344
Short,Rejects,2021,7,tt10140666
Short,The Nicky Nack,2021,,tt10151972
Short,The Island,2021,2,tt10156286
Short,Wildfire,2021,9,tt10153364
Short,2Cha,2021,,tt10155262
Short,R[evol]ution of Love,2021,1,tt10160440
Short,Port Radacini,2021,3,tt10160712
