nombre_peli,nombre_actxr,conocido_por,year_nacimiento,profesiones_string,premios
Pál Adrienn,Éva Gábor,"['Europa, East', 'Pál Adrienn']",N/A,Reparto,N/A
Pál Adrienn,István Znamenák,"['Az állampolgár', 'Taxidermia']",1966,"Reparto, Dirección, Dirección de fotografía y cámara",N/A
Pál Adrienn,Ákos Horváth,"['Kontroll', 'Haunting Trophies']",1968,"Reparto, Guion",N/A
Pál Adrienn,Lia Pokorny,"['Ízig-vérig', 'Well']",1971,Reparto,N/A
Pál Adrienn,Izabella Hegyi,"['Friss levegö', 'Pál Adrienn']",N/A,Reparto,N/A
Pál Adrienn,N/A,['N/A'],N/A,N/A,N/A
Pál Adrienn,Ági Margitai,"['Ilusiones de un mentiroso', 'Ripacsok']",1937,Reparto,N/A
Pál Adrienn,Eszter Márton,"['Nunca moriremos (Sose halunk meg)', 'Jóban Rosszban']",1969,"Guion, Reparto",N/A
So Much for Justice!,Kornél Mundruczó,"[""Jupiter's Moon"", 'White God']",1975,"Reparto, Dirección, Guion",46 premios y 35 nominaciones
So Much for Justice!,Daniel Olbrychski,"['Salt', 'El diluvio']",1945,"Reparto, Dirección de la segunda unidad o asistencia a dirección",8 premios y 2 nominaciones
So Much for Justice!,György Cserhalmi,"['Kontroll', 'Zelary']",1948,Reparto,8 premios y 2 nominaciones
So Much for Justice!,Gábor Nagypál,"['Inferno', 'Monte Carlo']",1975,Reparto,Gabor Nagypal
So Much for Justice!,László Gálffi,"['Wagner', 'Liszt Ferenc']",1952,Reparto,László Gálffy
So Much for Justice!,Zoltán Mucsi,"['El topo', '1']",1957,Reparto,3 premios
So Much for Justice!,Florian Teichtmeister,"['Sommer der Gaukler', 'Polly Adler']",1979,"Reparto, Banda sonora","1,73 m"
So Much for Justice!,Miklós Székely B.,"['Sátántangó', 'Hintaszék']",1948,Reparto,4 premios y 1 nominación
Los hijos del dragón verde,Zoltán Rátóti,"['Európa expressz', 'Életképek']",1960,Reparto,N/A
Los hijos del dragón verde,Yu Debin,"['Love, Death & Robots', 'A tökéletes gyilkos']",1964,"Reparto, Efectos visuales",N/A
Los hijos del dragón verde,Eszter Bánfalvi,"['Strike Back', 'Hamvadó cigarettavég']",1979,Reparto,Eszter Bánfalvy
Los hijos del dragón verde,Ferenc Lengyel,"['Curtiz', 'Strike Back']",1961,"Reparto, Guion",N/A
Los hijos del dragón verde,Attila Egyed,"['El niño con el pijama de rayas', 'Tall Tales']",1969,"Reparto, Arte",N/A
Los hijos del dragón verde,Shan Yu Tio,['Los hijos del dragón verde'],N/A,Reparto,N/A
Mientras duermo,Philip Winchester,"['Strike Back', 'The Player']",1981,"Reparto, Producción",1 premio y 1 nominación
Mientras duermo,Tim Draxl,"['Una boda de muerte', 'Interceptor']",1981,Reparto,3 nominaciones
Mientras duermo,Lacey Chabert,"['Chicas malas', 'Perdidos en el espacio']",1982,"Reparto, Producción, Guion",7 premios y 16 nominaciones
Mientras duermo,Abigail Spencer,"['Mad Men', 'Rectify']",1981,"Reparto, Producción, Guion",2 premios y 4 nominaciones
Mientras duermo,Kelly Overton,"['The Ring 2 (La señal 2)', 'True Blood']",1978,"Reparto, Producción, Dirección",3 premios
Mientras duermo,Amy Aquino,"['Armas de mujer', 'La flor del mal']",1957,"Reparto, Producción, Banda sonora",1 premio y 1 nominación
Mientras duermo,Tony Hale,"['Arrested Development', 'Veep']",1970,"Reparto, Producción, Guion",11 premios y 33 nominaciones en total
Mientras duermo,Kevin Kilner,"['Mamá a la fuerza', 'Una Cenicienta moderna']",1958,Reparto,N/A
This Wretched Life,Daniel Ball,"['Last Summer', 'Birth Control']",junio,"Reparto, Dirección, Producción","1,83 m"
This Wretched Life,Ande Cira,['This Wretched Life'],N/A,"Reparto, Guion",N/A
