,nombre_peli,nombre_actxr,conocido_por,year_nacimiento,profesiones_string,premios
0,After The Dark Knight Rises,Michael Curran,"['Night of the Coconut', 'The Patrick (H) Willems Star Wars Holiday Special']",N/A,"Guion, Reparto, Producción",N/A
1,After The Dark Knight Rises,Kcsl,"[""A College Student's Guide to Stealing Art"", 'Aquaman: The Teen Drama']",N/A,Reparto,N/A
2,Pacific Rim: Training Day,John Bain,"['TotalBiscuit and Jesse Cox Play Terraria', 'Pacific Rim: Training Day']",1984,"Guion, Dirección, Reparto",John Bain 'Cynicalbrit'
3,Pacific Rim: Training Day,Jesse Cox,"['Good Game', 'Fun Friday!']",N/A,"Guion, Reparto, Dirección",JesseCox
4,Pacific Rim: Training Day,Arin Hanson,"['Sequelitis', ""Starbomb: Luigi's Ballad""]",1987,"Guion, Reparto, Animación",N/A
5,Pacific Rim: Training Day,Jon Jafari,"['JonTron', ""JonTron's StarCade""]",1990,"Reparto, Guion, Dirección",JonRaptor
6,Cutout,Dahiana Torres,"['Pain Love & Passion', ""Bachelorette's Degree""]",N/A,"Reparto, Dirección, Guion",2 premios
7,Cutout,Alessio Araujo,"['Ley y orden: Unidad de Víctimas Especiales', 'The Last Original Gangster']",N/A,"Reparto, Localización, Producción",N/A
8,Cutout,Pedro Castillo,['Cutout'],N/A,"Reparto, Cámara y electricidad",N/A
9,Right Handed,Tony Chu,"['Unlucky Stars', 'Bloodline: Lovesick 2']",N/A,"Reparto, Especialistas, Dirección de fotografía y cámara",N/A
10,The Stone of Kings,Vindorein Dy'Near,['The Stone of Kings'],N/A,Reparto,N/A
11,The Stone of Kings,Torry Jackson,"['Nocturnal', 'The Stone of Kings']",N/A,Reparto,N/A
12,The Stone of Kings,Morgan Wade,"['The Stone of Kings', 'Just Desserts']",N/A,"Reparto, Arte",N/A
13,The Stone of Kings,Shawn Grothendick,['The Stone of Kings'],N/A,Reparto,N/A
14,The Stone of Kings,David Taylor,"['Being Eve', 'Xena: La princesa guerrera']",1982,"Reparto, Equipos adicionales",N/A
15,The Stone of Kings,Sarah Taylor,"['Dreammaker', 'Persiguiendo a Courtney']",N/A,"Reparto, Producción",1 premio
16,The Stone of Kings,Kristina Brunner,"[""Mind's Eye"", 'The Stone of Kings']",N/A,Reparto,N/A
17,Unexpected,Khris Lennon,['Unexpected'],N/A,"Dirección, Reparto, Guion",N/A
18,Unexpected,Ashtar Sheran Melendez,['Unexpected'],N/A,Reparto,N/A
19,Fan Line,David Christison,"['Una vida de mentira', 'Dominick Persey']",N/A,Reparto,N/A
20,Fan Line,Erica Ferlito,"['Fan Line', 'Good Times Web Series']",1987,Reparto,N/A
21,Unexpected,Khris Lennon,['Unexpected'],N/A,"Dirección, Reparto, Guion",N/A
22,Unexpected,Ashtar Sheran Melendez,['Unexpected'],N/A,Reparto,N/A
23,Slice,Anthony Canter,"['Slice', 'Blind Wave Plays Video Games']",N/A,"Reparto, Equipos adicionales",N/A
24,Code Blooded,Mickey Briggs,"['Code Blooded 2', 'Jive Candy']",N/A,"Reparto, Dirección, Guion",N/A
25,"The Good, the Bad and the Ugliness",Michelle LeBoeuf Taylor,"['Bail Out', 'My Journey to Me']",N/A,Reparto,Michelle LeBoeuf
26,"The Good, the Bad and the Ugliness",Meagen Howard,"['The Good, the Bad and the Ugliness']",N/A,Reparto,N/A
27,"The Good, the Bad and the Ugliness",Sasha Snow,"[""Hadwin's Judgement"", 'Conflict Tiger']",N/A,"Cámara y electricidad, Dirección, Dirección de fotografía y cámara",N/A
28,"The Good, the Bad and the Ugliness",Nicole Kamann,"['The Good, the Bad and the Ugliness']",N/A,Reparto,N/A
29,"The Good, the Bad and the Ugliness",Tanya Harless,"['The Good, the Bad and the Ugliness']",N/A,Reparto,N/A
30,"The Good, the Bad and the Ugliness",Linda Sheldon,"['The Good, the Bad and the Ugliness']",N/A,Reparto,N/A
31,"The Good, the Bad and the Ugliness",Bob Sheldon,"['The Good, the Bad and the Ugliness']",N/A,Reparto,N/A
32,"The Good, the Bad and the Ugliness",Scott Baird,"['Magellan', 'Boomerang (El príncipe de las mujeres)']",N/A,"Producción, Reparto, Guion",N/A
33,Thugli: Run This,Thugli,"['Thugli: Run This', 'Thugli: Sic Em']",N/A,Reparto,N/A
34,Wrony,Adrian Budakow,"['Small World', 'Teatr Telewizji']",1989,Reparto,"1,83 m"
35,Ode to the Warriors,Andrew Brown,['Ode to the Warriors'],N/A,Reparto,N/A
36,Ode to the Warriors,Bryan Cartago,"['The Batman', 'Érase una vez en... Hollywood']",N/A,"Especialistas, Reparto",1 premio y 2 nominaciones
37,Ode to the Warriors,Jimmy Chhiu,"['Mulán', 'La quinta ola']",N/A,"Especialistas, Reparto, Dirección de fotografía y cámara",N/A
38,Ode to the Warriors,Alice Choi,['Ode to the Warriors'],N/A,Reparto,N/A
39,Ode to the Warriors,Sebastian Contellanos,"['Ode to the Warriors', 'KungFu Journey']",N/A,Reparto,N/A
40,Ode to the Warriors,Augie Deangelo,"['Ode to the Warriors', 'Justin Bieber: Fever']",N/A,Reparto,N/A
41,Ode to the Warriors,Sammy DeAngelo,['Ode to the Warriors'],N/A,Reparto,N/A
42,Ode to the Warriors,Wes Scarpias Gonzales,"['Book of Sam', 'Arcana']",1988,"Reparto, Guion, Producción",2 premios
43,Child Soldier,Sankalpa Sumanasena,['Child Soldier'],N/A,Reparto,N/A
44,Child Soldier,Udara Anurudda,"['Fake Post', 'Child Soldier']",N/A,"Reparto, Producción, Dirección de producción",N/A
45,Child Soldier,Ravihansi Hasinthara,['Child Soldier'],N/A,Reparto,N/A
46,Child Soldier,Kavitha Shehani,['Child Soldier'],N/A,Reparto,N/A
47,Child Soldier,Kavinda Promod,['Child Soldier'],N/A,Reparto,N/A
48,Child Soldier,Romesh Dhananjana,['Child Soldier'],N/A,"Reparto, Equipos adicionales",N/A
49,Believe in Your Self,Rajen Prajapati,"['Bully', 'Apocalyptic 2077']",N/A,"Reparto, Guion, Cámara y electricidad",N/A
50,Believe in Your Self,Vishal Govind,"['Believe in Your Self', 'Abhimanya: The Darkness of Bhabhooti']",N/A,"Reparto, Maquillaje",N/A
51,Ready or Not,Barbara Broucke,"['Ghost in the Shell: El alma de la máquina', 'Warcraft: El origen']",N/A,"Maquillaje, Efectos especiales, Reparto",N/A
52,Terrorist Destruction,Cole Gwin,['Terrorist Destruction'],N/A,"Dirección, Reparto, Guion",N/A
53,Terrorist Destruction,Timothy Shelton,['Terrorist Destruction'],N/A,"Reparto, Edición",N/A
54,Terrorist Destruction,Katie Beth Shelton,['Terrorist Destruction'],N/A,Reparto,N/A
55,Terrorist Destruction,Thomas Shelton,['Terrorist Destruction'],N/A,Reparto,N/A
56,Terrorist Destruction,Henry Petrochko,['Terrorist Destruction'],N/A,Reparto,N/A
57,Terrorist Destruction,Trenton Retzer,"['Terrorist Destruction', 'Domme']",N/A,Reparto,N/A
58,Terrorist Destruction,Caleb Gwin,['Terrorist Destruction'],N/A,Reparto,N/A
59,Terrorist Destruction,Ben Edwards,['Terrorist Destruction'],N/A,Reparto,N/A
60,Gorilla Man 2: Goin' Bananas,Mitchell Anderson,"[""Gorilla Man 2: Goin' Bananas""]",N/A,Reparto,N/A
61,Gorilla Man 2: Goin' Bananas,Adam Darracott,"['Gorilla Man', 'Gorilla Man and the Identity Thieves']",N/A,"Reparto, Dirección de fotografía y cámara, Producción",N/A
