,nombre_peli,nombre_actxr,conocido_por,year_nacimiento,profesiones_string,premios
0,Redemption,Derek Burke,"['Redemption', 'Reversion']",N/A,Reparto,N/A
1,Redemption,July Smith,"['Redemption', 'A Fire in a Dovecot']",N/A,Reparto,N/A
2,Redemption,Adam Chambers,"['Skylar contra el monstruo', 'I <3 Vampires']",1983,"Reparto, Dirección, Producción",3 premios y 2 nominaciones
3,Redemption,Shaina Vorspan,"['Dollface', 'Morir de pie']",junio,"Reparto, Guion, Dirección",1 premio y 1 nominación
4,Redemption,Marco Neves,"['4 Horsemen: Apocalypse', 'Redemption']",N/A,"Reparto, Equipos adicionales","1,76 m"
5,Redemption,Aníbal Silveyra,"['Generation P', 'El año de la Marmota']",N/A,"Reparto, Dirección",Malena
6,Final Level,Oneira Acosta,['Final Level'],N/A,Reparto,N/A
7,Final Level,Kelly Adames,['Final Level'],N/A,Reparto,N/A
8,Final Level,Matt Augenstein,['Final Level'],N/A,Reparto,N/A
9,Final Level,Guile Branco,"['Sistema Bruto', 'Coração de Cowboy']",junio,"Reparto, Producción, Guion",1 premio y 1 nominación
10,Final Level,Wayne Chang,"['The Farewell', 'Megaman']",N/A,"Dirección de casting, Reparto, Casting",N/A
11,Final Level,Karina Colon,"['The Maybelline Girls', 'Vatos Locos']",N/A,"Reparto, Producción, Dirección",N/A
12,Final Level,Angela Diaz,"['Final Level', 'InSearchOf']",N/A,Reparto,N/A
13,Final Level,Sarah Loren Gerber,['Final Level'],N/A,Reparto,N/A
14,The Bad Penny,Casey T. Evans,"['Hired Gun', 'The Bad Penny']",1974,"Reparto, Producción, Guion",N/A
15,The Bad Penny,Tom Arnold,"['Mentiras arriesgadas', 'La familia stupid']",1959,"Reparto, Producción, Guion",5 premios y 3 nominaciones
16,The Bad Penny,Nick Faltas,"['La sombra del reino', 'Over There']",N/A,Reparto,N/A
17,The Bad Penny,Bai Ling,"['El laberinto rojo', 'El cuervo']",octubre,"Reparto, Dirección, Producción",20 premios y 7 nominaciones
18,The Bad Penny,Josh Randall,"['Quarry', 'Ozark']",1972,"Reparto, Guion",N/A
19,The Bad Penny,Lara Phillips,"['Camino a la perdición', 'El ala oeste de la Casa Blanca']",N/A,Reparto,N/A
20,The Bad Penny,Ilia Volok,"['Géminis', 'Misión: Imposible - Protocolo fantasma']",1964,"Reparto, Equipos adicionales, Guion",1 premio y 1 nominación
21,The Bad Penny,Travis Aaron Wade,"['La guerra de los mundos', 'El falsificador']",1975,"Reparto, Producción, Guion",N/A
22,The Girl with No Number,Bebe Pham,"['Trung so', 'Tolerancia cero']",N/A,"Reparto, Producción",1 premio
23,The Girl with No Number,Jay Laisne,"['A Mormon President', 'The Hallway']",N/A,"Reparto, Producción, Guion",N/A
24,The Girl with No Number,Elina Madison,"['#LWL Laugh with Lillian', ""Last Call at Murray's""]",septiembre,"Reparto, Producción, Guion",10 premios y 1 nominación
25,The Girl with No Number,Adrienne Ugarte,['The Girl with No Number'],N/A,Reparto,N/A
26,The Girl with No Number,Luong The Thanh,"['Tia Oi Ma Dia', 'Había una vez']",N/A,"Reparto, Banda sonora",N/A
