,nombre_peli,nombre_actxr,conocido_por,year_nacimiento,profesiones_string,premios
0,John Jani Janardhan,Vaijanath Biradar,"['Kanasembo kudureyaneri', 'Uppi 2']",N/A,Reparto,N/A
1,John Jani Janardhan,Ravishankar Gowda,"['VR (Vikrant Rona)', 'Mysore Huli']",N/A,"Reparto, Música",N/A
2,John Jani Janardhan,Bank Janardhan,"['Uppi 2', 'Kotigobba 2']",N/A,Reparto,Swamiji
3,John Jani Janardhan,Girija Lokesh,"['Martin', 'Gajakesari']",N/A,Reparto,N/A
4,John Jani Janardhan,Krishna Madarangi,['John Jani Janardhan'],N/A,Reparto,N/A
5,John Jani Janardhan,Malasri,"['Durgi', 'Sahasa Veerudu Sagara Kanya']",N/A,Reparto,Kiran
6,John Jani Janardhan,Krishna Nagappa,"['Nam Duniya Nam Style', 'John Jani Janardhan']",N/A,Reparto,N/A
7,John Jani Janardhan,Kamna Ranawat,"['John Jani Janardhan', 'Selfie Raja']",N/A,Reparto,N/A
8,Ananthana Chellata,Ratna Mala,"['Ananthana Chellata', 'Chadurida Karmoda']",N/A,Reparto,N/A
9,Ananthana Chellata,Susheel Mokaashi,"['Aathma', 'Ananthana Chellata']",N/A,"Reparto, Guion, Música",N/A
10,Ballari Darbar,Pola Srinivas Babu,['Ballari Darbar'],N/A,Reparto,N/A
11,Ballari Darbar,Subhash Chandra,"['Gahana', 'Ballari Darbar']",N/A,Reparto,N/A
12,Ballari Darbar,Aaji Babu Khan,['Ballari Darbar'],N/A,Reparto,N/A
13,Ballari Darbar,Arun Kumar,['Ballari Darbar'],N/A,Reparto,N/A
14,Ballari Darbar,Sampath Kumar,"['Eyy', 'Amruth Apartments']",N/A,Reparto,N/A
15,One Time,Aaji Babu Khan,['Ballari Darbar'],N/A,Reparto,N/A
16,One Time,Arun Kumar,['Ballari Darbar'],N/A,Reparto,N/A
17,One Time,Sampath Kumar,"['Eyy', 'Amruth Apartments']",N/A,Reparto,N/A
18,One Time,Shubha Raksha,"['Home Minister', 'Apple Cake']",N/A,Reparto,N/A
19,One Time,Mamata Rawat,"['Goolihatti', 'Ballari Darbar']",N/A,Reparto,N/A
20,Kempammana Court Case,Ganesh Rao,"['Aa Dinagalu', 'Partha']",N/A,Reparto,N/A
21,Kempammana Court Case,Krishna Nagappa,"['Nam Duniya Nam Style', 'John Jani Janardhan']",N/A,Reparto,N/A
22,Kempammana Court Case,Kamna Ranawat,"['John Jani Janardhan', 'Selfie Raja']",N/A,Reparto,N/A
23,Sri Omkara Ayyappane,Bank Janardhan,"['Uppi 2', 'Kotigobba 2']",N/A,Reparto,Swamiji
24,Sri Omkara Ayyappane,Naveen Krishna,"['Ouija: Game Never Ends', 'Haggada Kone: End of the Rope']",N/A,"Reparto, Música, Guion",N/A
25,Ye mo ren,Zijing Guan,"['Ye mo ren', 'Tou tou cang bu zhu']",N/A,Reparto,N/A
26,Ye mo ren,Longjun Li,"['Rescatando a Mr. Wu', 'Ku qi de nü ren']",N/A,Reparto,N/A
27,Ye mo ren,Lingjie Lu,"['Ye mo ren', 'Fu qin de shen fen']",N/A,Reparto,N/A
