,nombre_peli,nombre_actxr,conocido_por,year_nacimiento,profesiones_string,premios
0,Trooper,Max Martini,['N/A'],11,"Actor, Producer, Director",N/A
1,Trooper,Robert Walden,['N/A'],1943,"Actor, Director, Writer",N/A
2,Trooper,Sayra Player,['N/A'],31,"Actress, Producer, Director",N/A
3,Trooper,Suzanne DiDonna,['N/A'],1975,"Actress, Writer, Director",N/A
4,Trooper,Kevin Mambo,['N/A'],1972,"Actor, Writer",N/A
5,Trooper,Gary Swanson,['N/A'],1948,"Actor, Producer",N/A
6,Trooper,Christopher Martini,['N/A'],N/A,"Director, Writer, Cinematographer",N/A
7,Trooper,Jerry Della Salla,['N/A'],7,"Actor, Stunts, Additional Crew",N/A
8,Sweet Evil,Anaïs Demoustier,['N/A'],1987,"Actress, Music Department, Soundtrack",N/A
9,Sweet Evil,Pascal Greggory,['N/A'],1954,"Actor, Writer",N/A
10,Sweet Evil,Ludmila Mikaël,['N/A'],1947,Actress,N/A
11,Sweet Evil,Sylvain Dieuaide,['N/A'],N/A,"Actor, Director, Writer",5′ 8½″ (1.74 m)
12,Sweet Evil,Aurélia Petit,['N/A'],N/A,"Actress, Additional Crew",N/A
13,Sweet Evil,Jacky Lambert,['N/A'],N/A,"Actor, Composer, Writer",N/A
14,Sweet Evil,Hubert Saint-Macary,['N/A'],1949,Actor,N/A
15,Sweet Evil,Catherine Benguigui,['N/A'],N/A,Actress,N/A
16,Sinister Heaven,Marshal Hilton,['N/A'],1955,"Actor, Producer, Additional Crew",N/A
17,Sinister Heaven,Chris Wisdom,['N/A'],N/A,Actor,N/A
18,Sinister Heaven,Laura Waters,['N/A'],N/A,"Actress, Editorial Department, Production Designer",N/A
19,Sinister Heaven,Justin Schollard,['N/A'],1984,Actor,N/A
20,Sinister Heaven,Aleshia Kaser,['N/A'],N/A,Actress,N/A
21,Sinister Heaven,Monique Reynoso,['N/A'],N/A,Actress,N/A
22,Sinister Heaven,Nicole L. Osborne,['N/A'],N/A,"Actress, Second Unit Director or Assistant Director, Additional Crew",Nicole McAleece
23,Sinister Heaven,Brian Poindexter,['N/A'],N/A,"Actor, Special Effects",N/A
24,The Fiction,Ashlyn Dixon,['N/A'],N/A,Actress,N/A
25,The Fiction,John Fabiani,['N/A'],N/A,Actor,N/A
26,The Fiction,Eric Hammer,['N/A'],N/A,Actor,N/A
27,The Fiction,Allie Kubick,['N/A'],N/A,Actress,N/A
28,Jetaa,Eric Hammer,['N/A'],N/A,Actor,N/A
