,nombre_peli,nombre_actxr,conocido_por,year_nacimiento,profesiones_string,premios
0,Trooper,Max Martini,"['13 Hours: The Secret Soldiers of Benghazi', 'Captain Phillips']",11,"Actor, Producer, Director",1 win & 1 nomination
1,Trooper,Robert Walden,"['Brothers', 'Everything You Always Wanted to Know About Sex * But Were Afraid to Ask']",1943,"Actor, Director, Writer",5 nominations total
2,Trooper,Sayra Player,"['Law & Order: Special Victims Unit', 'FBI']",31,"Actress, Producer, Director",5 wins & 3 nominations
3,Trooper,Suzanne DiDonna,"['The Sopranos', 'Truth']",1975,"Actress, Writer, Director",N/A
4,Trooper,Kevin Mambo,"['Guiding Light', 'Cadillac Records']",1972,"Actor, Writer",2 wins & 2 nominations
5,Trooper,Gary Swanson,"['Vice Squad', 'The Bone Collector']",1948,"Actor, Producer",N/A
6,Trooper,Christopher Martini,"['Trooper', 'Pastalight']",N/A,"Director, Writer, Cinematographer",39 wins & 1 nomination
7,Trooper,Jerry Della Salla,"['Green Zone', 'For Love of a Fish']",7,"Actor, Stunts, Additional Crew",4 wins & 6 nominations
8,Sweet Evil,Anaïs Demoustier,"['Sweet Evil', 'The Snows of Kilimanjaro']",1987,"Actress, Music Department, Soundtrack",6 wins & 6 nominations
9,Sweet Evil,Pascal Greggory,"['La Vie En Rose', 'Pauline at the Beach']",1954,"Actor, Writer",8 wins & 5 nominations
10,Sweet Evil,Ludmila Mikaël,"['The Man Who Sleeps', 'White Wedding']",1947,Actress,1 win & 1 nomination
11,Sweet Evil,Sylvain Dieuaide,"['Conversation avec un épouvantail', ""You Ain't Seen Nothin' Yet""]",N/A,"Actor, Director, Writer",5′ 8½″ (1.74 m)
12,Sweet Evil,Aurélia Petit,"['The Science of Sleep', 'Personal Shopper']",N/A,"Actress, Additional Crew",1 win
13,Sweet Evil,Jacky Lambert,"['JCVD', ""Ça m'est égal si demain n'arrive pas""]",N/A,"Actor, Composer, Writer",N/A
14,Sweet Evil,Hubert Saint-Macary,"['The Bourne Identity', 'Indochine']",1949,Actor,1 win
