nombre_peli,nombre_actxr,conocido_por,year_nacimiento,profesiones_string,premios
La Telenovela Errante,Luis Alarcón,['N/A'],1929,"Reparto, Efectos especiales, Producción",N/A
La Telenovela Errante,Patricia Rivadeneira,['N/A'],1964,Reparto,Paty Rivadeneira
La Telenovela Errante,Francisco Reyes,['N/A'],1954,"Reparto, Banda sonora",N/A
La Telenovela Errante,Consuelo Castillo,['N/A'],N/A,Reparto,N/A
La Telenovela Errante,Roberto Poblete,['N/A'],1955,Reparto,N/A
La Telenovela Errante,Liliana García,['N/A'],1962,Reparto,"1987 - ? (divorciado, 1 niño)"
La Telenovela Errante,Mauricio Pesutic,['N/A'],1948,"Reparto, Guion, Dirección de la segunda unidad o asistencia a dirección",N/A
La Telenovela Errante,Leticia Garrido,['N/A'],N/A,Reparto,N/A
Joe Finds Grace,Anthony Harrison,['N/A'],1961,"Reparto, Producción, Guion",N/A
Joe Finds Grace,C. Ernst Harth,['N/A'],1970,"Reparto, Producción, Dirección de producción",N/A
Joe Finds Grace,Ellie Harvie,['N/A'],1965,"Reparto, Guion, Dirección",N/A
Joe Finds Grace,Chilton Crane,['N/A'],N/A,Reparto,N/A
Joe Finds Grace,Ron Chartier,['N/A'],N/A,"Reparto, Producción, Dirección de producción",Joseph Dolan
Joe Finds Grace,Dmitry Chepovetsky,['N/A'],1970,Reparto,N/A
Joe Finds Grace,Bruce Dawson,['N/A'],N/A,"Reparto, Equipos adicionales, Especialistas",N/A
Joe Finds Grace,Rheta Hutton,['N/A'],1937,Reparto,Rheta With An 'H'
Canción de Nueva York,Callum Turner,['N/A'],1990,"Reparto, Dirección, Guion",N/A
Canción de Nueva York,Jeff Bridges,['N/A'],1949,"Reparto, Producción, Arte",N/A
Canción de Nueva York,Kate Beckinsale,['N/A'],1973,"Reparto, Producción, Equipos adicionales",N/A
Canción de Nueva York,Pierce Brosnan,['N/A'],1953,"Reparto, Producción, Equipo ejecutivo",N/A
Canción de Nueva York,Cynthia Nixon,['N/A'],1966,"Reparto, Producción, Dirección",N/A
Canción de Nueva York,Kiersey Clemons,['N/A'],1993,"Reparto, Producción, Banda sonora",N/A
Canción de Nueva York,Tate Donovan,['N/A'],1963,"Reparto, Dirección, Producción",N/A
Canción de Nueva York,Wallace Shawn,['N/A'],1943,"Reparto, Guion, Producción",N/A
Tulip Fever,Alicia Vikander,['N/A'],1988,"Reparto, Producción, Banda sonora",N/A
Tulip Fever,Dane DeHaan,['N/A'],febrero,Reparto,N/A
Tulip Fever,Jack O'Connell,['N/A'],1990,Reparto,N/A
Tulip Fever,Holliday Grainger,['N/A'],1988,Reparto,N/A
Tulip Fever,Tom Hollander,['N/A'],1967,"Reparto, Producción, Guion",N/A
Tulip Fever,Matthew Morrison,['N/A'],1978,"Reparto, Producción, Dirección",N/A
Tulip Fever,Kevin McKidd,['N/A'],1973,"Reparto, Dirección, Banda sonora",N/A
Tulip Fever,Douglas Hodge,['N/A'],1960,"Reparto, Dirección, Guion",N/A
Suburbicon,Steve Monroe,['N/A'],1972,"Reparto, Producción, Dirección",N/A
Suburbicon,Gavin Wilde,['N/A'],N/A,Reparto,N/A
Suburbicon,Landon Gordon,['N/A'],2009,Reparto,N/A
Suburbicon,Hope Banks,['N/A'],N/A,"Reparto, Guion, Producción",N/A
Suburbicon,Karimah Westbrook,['N/A'],octubre,"Reparto, Producción, Dirección",N/A
Suburbicon,James Handy,['N/A'],N/A,"Reparto, Producción",N/A
Suburbicon,Mather Zickel,['N/A'],1970,"Reparto, Producción",N/A
Suburbicon,Josh Meyer,['N/A'],1979,Reparto,N/A
Rings,Matilda Anna Ingrid Lutz,['N/A'],1991,Reparto,N/A
Rings,Alex Roe,['N/A'],1990,"Reparto, Producción, Dirección de fotografía y cámara",N/A
Rings,Johnny Galecki,['N/A'],1975,"Reparto, Producción, Guion",N/A
Rings,Vincent D'Onofrio,['N/A'],1959,"Reparto, Producción, Dirección",N/A
Rings,Aimee Teegarden,['N/A'],octubre,"Reparto, Producción, Banda sonora",N/A
Rings,Bonnie Morgan,['N/A'],1981,"Reparto, Especialistas, Dirección de arte",N/A
Rings,Se Oh,['N/A'],N/A,"Reparto, Dirección, Guion",Chuck David Willis
Rings,Patrick Walker,['N/A'],1992,"Reparto, Guion, Producción",N/A
Caravaggio and My Mother the Pope,Gladys Florence,['N/A'],1913,"Dirección, Reparto, Guion",N/A
Caravaggio and My Mother the Pope,Gladys Rose,['N/A'],N/A,Reparto,N/A
Caravaggio and My Mother the Pope,Tom Troupe,['N/A'],1928,"Reparto, Guion",N/A
Caravaggio and My Mother the Pope,Frank Leboeuf,['N/A'],1968,"Reparto, Producción, Equipos adicionales",N/A
Caravaggio and My Mother the Pope,Domiziano Arcangeli,['N/A'],1968,"Reparto, Producción, Guion",N/A
Caravaggio and My Mother the Pope,Peter Kiedrowski,['N/A'],N/A,Reparto,N/A
Caravaggio and My Mother the Pope,Andrea Grassi,['N/A'],N/A,Reparto,N/A
Caravaggio and My Mother the Pope,Ettore Belmondo,['N/A'],N/A,"Reparto, Dirección, Guion",N/A
Krystal,Rosario Dawson,['N/A'],1979,"Reparto, Producción, Dirección",N/A
Krystal,Nick Robinson,['N/A'],1995,"Reparto, Producción, Banda sonora",N/A
Krystal,Tip 'T.I.' Harris,['N/A'],1980,"Music Artist, Reparto, Composición",N/A
Krystal,N/A,['N/A'],N/A,N/A,N/A
Krystal,Felicity Huffman,['N/A'],1962,"Reparto, Producción, Dirección",N/A
Krystal,William H. Macy,['N/A'],1950,"Reparto, Guion, Dirección",N/A
Krystal,Jacob Latimore,['N/A'],agosto,"Reparto, Banda sonora",N/A
Krystal,Rick Fox,['N/A'],1969,"Reparto, Producción",N/A
The Dot Man,David Arrow,['N/A'],junio,"Reparto, Producción, Dirección",N/A
The Dot Man,Steven Berkoff,['N/A'],1937,"Reparto, Guion, Dirección",N/A
The Dot Man,Claudia Christian,['N/A'],agosto,"Reparto, Dirección, Producción",N/A
The Dot Man,Maria Dinulescu,['N/A'],1981,Reparto,N/A
The Dot Man,Jonathan Breck,['N/A'],1965,"Reparto, Producción",N/A
The Dot Man,Raymond J. Barry,['N/A'],1939,Reparto,N/A
The Dot Man,Bryan Jardine,['N/A'],N/A,Reparto,N/A
The Dot Man,Dorel Visan,['N/A'],1937,Reparto,N/A
The Promise,Edwine Dorival,['N/A'],N/A,"Reparto, Composición, Edición",N/A
The Promise,Lidwine Berthil,['N/A'],N/A,Reparto,N/A
The Promise,Cristiano Xavier Ramos,['N/A'],N/A,Reparto,N/A
The Promise,Zirin Hantz,['N/A'],N/A,Reparto,N/A
The Promise,Mackenson Dorival,['N/A'],N/A,"Dirección de fotografía y cámara, Reparto, Guion",N/A
The Promise,Alexandre Elizabeth,['N/A'],N/A,Reparto,N/A
The Promise,Bekenya Jane Augustin,['N/A'],N/A,Reparto,N/A
The Promise,Nathanïel Berthil-Duval,['N/A'],N/A,Reparto,N/A
Egise Taara Juvvalu,Kamal Krishna Annarapu,['N/A'],N/A,Reparto,N/A
Egise Taara Juvvalu,Darbha Appaji Ambarisha,['N/A'],1964,Reparto,N/A
Egise Taara Juvvalu,Abhay Bethiganti,['N/A'],N/A,"Reparto, Dirección, Guion",N/A
Egise Taara Juvvalu,Bhaskar,['N/A'],N/A,Reparto,N/A
Egise Taara Juvvalu,Chandrudu,['N/A'],N/A,Reparto,N/A
Egise Taara Juvvalu,Ajay Ghosh,['N/A'],N/A,"Reparto, Guion",N/A
Egise Taara Juvvalu,Hasini,['N/A'],N/A,Reparto,N/A
Egise Taara Juvvalu,Jitendra,['N/A'],N/A,Reparto,N/A
Ubuntu,Ajay Ghosh,['N/A'],N/A,"Reparto, Guion",N/A
Ubuntu,Hasini,['N/A'],N/A,Reparto,N/A
Ubuntu,Jitendra,['N/A'],N/A,Reparto,N/A
Tatva,Kamalakar Borkar,['N/A'],N/A,Reparto,N/A
Tatva,Sadanand Borkar,['N/A'],N/A,Reparto,N/A
Tatva,Vikrant Borkar,['N/A'],N/A,Reparto,N/A
