,nombre_peli,nombre_actxr,conocido_por,year_nacimiento,profesiones_string,premios
0,The Rocks,Tia Byrd,"['The Rocks', 'Second Hand Love']",N/A,Reparto,N/A
1,The Rocks,Gary Clevenger,"['The Takeover', 'Justice']",N/A,"Reparto, Equipos adicionales",N/A
2,The Rocks,Jada Giles,['The Rocks'],N/A,Reparto,N/A
3,The Rocks,Etuwe Bright Junior,"['Spitsbroers', 'De gebroeders Schimm']",N/A,Reparto,N/A
4,The Rocks,Serge Koffi,['The Rocks'],N/A,Reparto,N/A
5,The Rocks,Stephanie Pittman,['The Rocks'],N/A,Reparto,N/A
6,The Rocks,Zane Pittman,"['Echoes', 'Plan to Kill']",N/A,"Reparto, Producción",N/A
7,Operation Black Countdown,Stjepan Zelic,"['Operation Black Countdown', 'Jbn Igrach: Tesoriero']",N/A,"Cámara y electricidad, Reparto, Guion",N/A
8,Core,Tiankuo Gong,"['Core', 'El soldado perdido']",N/A,"Reparto, Dirección, Guion",N/A
9,Core,Joshua Hannum,"['Once Upon a Time in Tibet', 'Core']",N/A,Reparto,N/A
10,Core,Minghao Hou,['Core'],N/A,Reparto,N/A
11,Osu,Nate Hitpas,"['Guardianes de la Galaxia Vol. 3', 'Capitán América: Civil War']",N/A,"Especialistas, Reparto, Efectos visuales",3 nominaciones
12,Ijexá,Gabriela Albuquerque,"['Ijexá', 'Suriname Gold']",N/A,Reparto,N/A
13,Ijexá,Raphael Calheiros,"['A Filosofia na Alcova', 'Ijexá']",N/A,"Reparto, Dirección de la segunda unidad o asistencia a dirección, Edición",N/A
14,Ijexá,Milhem Cortaz,"['Tropa de élite', 'Carandiru']",1972,Reparto,6 premios y 9 nominaciones
15,Ijexá,Bruno Costa,"['Chico Bolacha', 'Linha Do Tempo']",N/A,"Reparto, Dirección, Guion",N/A
16,Ijexá,Doró Cross,"['Ijexá', 'Trabalhar Cansa']",N/A,Reparto,N/A
17,Ijexá,Lilian Lima,['Ijexá'],N/A,Reparto,N/A
18,Ijexá,Jairo Mattos,"['Celebridade', 'Beleza Pura']",septiembre,Reparto,N/A
19,Ijexá,Riggo Oliveira,"['Ijexá', 'O Curto Adeus']",N/A,Reparto,N/A
20,Superboy,Sidqiya Ade Alkhariq,['Superboy'],N/A,Reparto,N/A
21,Superboy,Diaz Kumara,['Superboy'],N/A,Reparto,N/A
22,Villains,Greg Lopez,"['Ganas', 'Villains']",N/A,"Reparto, Cámara y electricidad, Sonido",N/A
