,nombre_peli,nombre_actxr,conocido_por,year_nacimiento,profesiones_string,premios
0,De día y de noche,Sandra Echeverría,"['Salvajes', 'La usurpadora']",1984,"Reparto, Producción, Banda sonora",2 premios y 3 nominaciones
1,De día y de noche,Edgar Vivar,"['El orfanato', 'Bandidas']",1948,"Reparto, Banda sonora","1,74 m"
2,De día y de noche,Gala Montes,"['En otra piel', 'El Señor de los Cielos']",N/A,Reparto,N/A
3,De día y de noche,Fernando Becerril,"['La máscara del Zorro', 'Ravenous']",1944,Reparto,2 nominaciones
4,De día y de noche,Manuel Balbi,"['100 días para enamorarnos', 'Casi treinta']",1978,Reparto,1 nominación
5,De día y de noche,Marius Biegai,"['Queen of the South', 'Single Parents']",1968,"Reparto, Producción, Guion",1 premio
6,Laat Sahab,Sangeeta Choudhary,"['Laat Sahab', 'Asar']",N/A,Reparto,N/A
7,Laat Sahab,Kavita Joshi,"['Senapati', 'Alajh Palajh']",1995,Reparto,N/A
8,Laat Sahab,Uttar Kumar,"['Joda Thath Ka', 'Guru Chela']",1973,"Reparto, Dirección, Guion","1,80 m"
9,Rudolfa mantojums,Romualds Ancans,"['Rudolfa mantojums', 'Rudens rozes']",1944,Reparto,1 premio y 1 nominación
10,Rudolfa mantojums,Uldis Dumpis,"['Vectevs, kas bistamaks par datoru', 'Alarma en el Rallye']",1943,Reparto,2 premios
11,Rudolfa mantojums,Rezija Kalnina,"['Head käed', 'Modris']",1970,Reparto,2 premios y 5 nominaciones
12,Rudolfa mantojums,Arturs Skrastins,"['Liktendzirnas', 'The Mover']",1974,Reparto,N/A
