,nombre_peli,nombre_actxr,conocido_por,year_nacimiento,profesiones_string,premios
0,Payiz,Ammar Aghaei,"['Yek Ghete Aks', 'Payiz']",N/A,"Reparto, Dirección, Dirección de la segunda unidad o asistencia a dirección",N/A
1,Payiz,Nasrin Babaei,"['Ghowl', 'Nahid']",N/A,Reparto,N/A
2,Payiz,Pejman Bazeghi,"['Rhino Horn', 'The Man with Two Thousand Faces']",1974,"Reparto, Música",N/A
3,Payiz,Mohammad Reza Fathi,"['Buffalo', 'Savar Dar Baran']",N/A,Reparto,N/A
4,Payiz,Mohammad Rasoul Haghdoust,"['Payiz', 'Majoone Jadooyi']",N/A,Reparto,N/A
5,Payiz,Nazanin Karimi,"['Dooshe Akhar', 'Dokhtare Shahe Parion']",N/A,"Reparto, Dirección, Guion",N/A
6,Payiz,Akram Mahdavi,"['Payiz', 'Booria']",N/A,Reparto,N/A
7,Payiz,Danial Mahmudnia,"['Khodaye Kaghaz', 'Payiz']",N/A,"Reparto, Dirección de la segunda unidad o asistencia a dirección, Dirección",N/A
8,Tobu Aporichito,Indraneil Sengupta,"['Mishawr Rawhoshyo', 'Kahaani']",1974,"Reparto, Cámara y electricidad",1 premio y 6 nominaciones
9,Tobu Aporichito,Paoli Dam,"['Bulbbul', 'Natoker Moto: Like a Play']",1980,"Reparto, Música",2 premios y 3 nominaciones
10,Tobu Aporichito,Paran Banerjee,"['Bob Biswas', 'Double Feluda']",1940,"Reparto, Música",1 premio y 4 nominaciones
11,Tobu Aporichito,Laboni Sarkar,"['Chander Pahar', 'Amazon Obhijaan']",1962,Reparto,N/A
12,Tobu Aporichito,Kharaj Mukherjee,"['Patalghar', 'Special Chabbis']",1963,"Reparto, Música, Guion",2 premios y 1 nominación
13,Tobu Aporichito,Biswajit Chakraborty,"['Mishawr Rawhoshyo', 'Byomkesh Bakshi']",1948,"Reparto, Equipos adicionales",N/A
14,Tobu Aporichito,Biswanath Basu,"['Raavan', 'Teenkahon']",N/A,Reparto,N/A
15,Tobu Aporichito,Parthasarathi Chakraborty,"['Jaaneman', 'Khiladi']",N/A,Reparto,Partho Sarathi Chakraborty
16,L'ultimo passo del perdono,Lando Buzzanca,"['La chica de Parma', 'Seducida y abandonada']",1935,"Reparto, Equipos adicionales",2 premios y 1 nominación
17,L'ultimo passo del perdono,Narcy Calamatta,"['Before Forgetting Everything', 'The Caravaggio Theft']",1939,"Reparto, Producción",N/A
18,The Merchant of Venice,Dominic Mafham,"['Ofelia', 'Golda']",1968,Reparto,1 nominación
19,The Merchant of Venice,Brian Martin,"['El régimen', 'Mi policía']",N/A,"Reparto, Guion, Producción",1 nominación
