,nombre_peli,nombre_actxr,conocido_por,year_nacimiento,profesiones_string,premios
0,Spider-Man Fan Film - Film Form Studios,Brandon Denton,"['Spider-Man 2: Broken Identity', 'Spider-Man Fan Film - Film Form Studios']",N/A,Actor,N/A
1,Spider-Man Fan Film - Film Form Studios,Sam James,"['Spider-Man 2: Broken Identity', 'Redemption: A Power Rangers Fan Film']",N/A,"Actor, Cinematographer, Writer",N/A
2,Spider-Man Fan Film - Film Form Studios,Paige Louise-Evans,"['Spider-Man 2: Broken Identity', 'Spider-Man Fan Film - Film Form Studios']",N/A,Actress,N/A
3,Spider-Man Fan Film - Film Form Studios,Nathan McInnes,"['Redemption: A Power Rangers Fan Film', 'Spider-Man 2: Broken Identity']",N/A,"Director, Actor, Writer",N/A
4,Spider-Man Fan Film - Film Form Studios,Morgan Price,"['Redemption: A Power Rangers Fan Film', 'Spider-Man 2: Broken Identity']",N/A,"Actor, Writer, Cinematographer",N/A
5,Mirror Mirror,Ste Bergin,"['A Manchester Story', 'Anne Droid']",1997,"Actor, Producer, Director",","
6,Mirror Mirror,Daniel Brindley,"['Butterfly, Lost', 'Seen (Proof of Concept)']",N/A,"Actor, Producer",N/A
7,Instagore,Bao Er Ho,"['Ad Astra', 'Moonfall']",N/A,"Visual Effects, Animation Department, Actress",N/A
8,Instagore,Johnny Jiang,"['Final Frequency', 'Born a Champion']",N/A,"Editorial Department, Sound Department, Editor",N/A
9,Instagore,Nick Kubeck,"['Doctor Death', 'Instagore']",N/A,Actor,N/A
10,Instagore,Connie Ho Xiang Ning,"['A Man Called Otto', 'Eighth Wonder']",N/A,"Visual Effects, Actress, Producer",N/A
11,GG,Tian Tan,"['Sui Generis', 'Mega Time Squad']",N/A,Actor,N/A
12,GG,Helene Wong,"[""The Warrior's Way"", 'The Tattooist']",N/A,Actress,N/A
13,Red Hood Uprising,Mavrick Vo,"['Naruto Evolution Episode One: Bonds', 'Red Hood Uprising']",N/A,"Stunts, Camera and Electrical Department, Producer",N/A
14,Red Hood Uprising,Trevor Telenko,"['Red Hood Uprising', 'A Score to Settle']",N/A,"Producer, Stunts, Writer",N/A
15,Red Hood Uprising,Sion Tran,"['Fantasy Fight Club', 'Naruto Evolution Episode One: Bonds']",N/A,"Stunts, Actor",N/A
16,The Floor Whisper,Kyle A. Lee,"['Fear Me', 'Home_Alone??']",N/A,"Actor, Producer, Director",N/A
17,Metal Gear Solid: A New Divide,Manny Lopez,"['No Turning Back', 'Onslaught of the Ruined']",N/A,"Actor, Stunts, Costume and Wardrobe Department",N/A
18,Hledaci Ztracené Historie: Vzkaz Mrtvého Muze,Otakar Brousek,"['Muz v pozadí', 'Okupace']",1957,Actor,1 nomination
19,The Bust,Antoine Collins,"['Zompocalypse: Dead End', 'The Dead']",N/A,Actor,N/A
20,The Bust,Skyler Henry,"['The Merger', 'The Bust']",N/A,"Editor, Writer, Director",N/A
21,The Bust,Spencer Robinson,"['A Drifting Copyright', 'Van Gogh a Go Go']",N/A,"Actor, Cinematographer, Camera and Electrical Department",N/A
22,Scarcity,Lara Lom,"['Avengers: Endgame', 'Guardians of the Galaxy Vol. 3']",N/A,"Visual Effects, Actress",N/A
23,Dadayama,Chamupathi Gigara,"['Dadayama II', 'Dadayama']",N/A,"Director, Actor, Cinematographer",N/A
24,Dadayama,Bimsara Gunarathna,"['Dadayama', 'Dadayama II']",N/A,"Actor, Producer, Writer",N/A
25,Dadayama,Nipuna Hasaranga,"['Dadayama II', 'Dadayama']",N/A,"Actor, Writer, Cinematographer",N/A
26,Dadayama,Nuwan Priyamal,"['Dadayama', 'Dadayama II']",N/A,Actor,N/A
27,Dadayama,Yasiru Ranthila,"['Dadayama', 'Dadayama II']",N/A,Actor,N/A
28,Dadayama,Akila Sachintha,"['Dadayama', 'Dadayama II']",N/A,Actor,N/A
29,Dadayama,Adheesha Sasanjaya,"['Dadayama', 'Dadayama II']",N/A,Actor,N/A
