ID,Nombre,Tipo,Año de Estreno,Mes de Estreno
tt10151854,Shazam! Fury of the Gods,Movie,2023,3
tt10178004,Rapture Camp,Movie,2023,5
tt10305228,Creepers 'R Us,Movie,2023,9
tt10351180,Bad Boy,Movie,2023,4
tt10364034,Miraculous: Filmen om Ladybug & Cat Noir,Movie,2023,7
tt10750578,Os Perebas,Movie,2023,11
tt10767052,Next Goal Wins,Movie,2024,1
tt10810852,Al Reves,Movie,2023,2
tt10954600,Ant-Man and the Wasp: Quantumania,Movie,2023,2
tt11170966,Reception,Movie,2023,6
tt11241232,De Vuelta Al Mundo,Movie,2023,4
tt11274492,The Out-Laws,Movie,2023,7
tt11304740,Wish,Movie,2023,11
tt11425114,El Quinceañero De Mi Abuela,Movie,2023,4
tt11608090,The Idiots,Movie,2023,10
tt11804530,The Loverdoses,Movie,2023,8
tt11950404,Sophie's Rules,Movie,2023,1
tt12254818,Vernissage hos Gud,Movie,2023,1
tt12515422,Common People,Movie,2023,9
tt12781876,Mass State Lottery,Movie,2023,3
tt12802346,Luda godina - Povratak Zikine dinastije,Movie,2023,10
tt12823454,Your Place or Mine,Movie,2023,2
tt7985704,Operation Fortune,Movie,2023,1
tt13130948,Shehzada,Movie,2023,4
tt13290130,Los buenos modales,Movie,2023,4
tt13321744,High Weirdness,Movie,2023,9
tt13950336,Pros and Cons of Being Single,Movie,2023,4
tt14211906,La novia de América,Movie,2023,1
tt14259918,Big Syrup and The Maple Men,Movie,2023,5
tt14326000,My Precious,Movie,2023,4
tt14362112,Trolls Band Together,Movie,2023,11
tt14451444,Rafadan Tayfa Galaktik Tayfa,Movie,2023,1
tt14472156,Paint,Movie,2023,4
tt1458167,High in the Clouds,Movie,2023,
tt14709996,Burning Love,Movie,2023,11
tt14826022,You People,Movie,2023,1
tt14864476,Tramonto a Nord Ovest,Movie,2023,2
tt14914988,Satyaprem Ki Katha,Movie,2023,6
tt14979412,First Nights,Movie,2023,12
tt14993250,Rocky Aur Rani Ki Prem Kahani,Movie,2023,7
tt14996762,Not Funny: The Movie,Movie,2023,12
tt15043302,Love in Isolation,Movie,2023,2
tt15153532,Vida perra,Movie,2023,9
tt15208330,Me Quiere No Me Quiere,Movie,2023,2
tt15209090,Tú y Yo en Queens,Movie,2023,
tt15211018,Hela bilden,Movie,2023,4
tt15226268,Holbrook Boys,Movie,2023,
tt15282128,En dag kommer allt det här bli ditt,Movie,2023,2
tt15406258,Historias de Hotel,Movie,2023,10
tt15405486,Woods Witch,Movie,2023,
tt15430628,Ride On,Movie,2023,4
