ID,Nombre,Tipo,Año de Estreno,Mes de Estreno
tt10225380,Multiverso,Movie,2024,6
tt10844184,Detour 95,Movie,2024,10
tt10928904,The Legend of Johnny Jones,Movie,2024,10
tt11078340,Slasher House 3,Movie,2024,3
tt11374514,Clank and the Golden Scar,Movie,2024,7
tt12037194,Furiosa: A Mad Max Saga,Movie,2024,5
tt12193500,The Passion of the Gods,Movie,2024,6
tt12529250,Danya,Movie,,
tt13143064,Adrienne,Movie,,
tt13176330,Hitpig,Movie,2024,4
tt13542474,1242: Gateway to the West,Movie,2024,9
tt13590374,Mnemonix,Movie,2024,12
tt13818368,Fighter,Movie,2024,1
tt14114688,L'Inferno (Remastered),Movie,2024,9
tt14564000,Guntur Kaaram,Movie,2024,1
tt15009428,Argylle,Movie,2024,2
tt15127142,Nothing Unusual,Movie,2024,10
tt15239678,Kopa. Antra dalis,Movie,2024,3
tt15535164,Sunset Shimmer and the Acidic Universe of Makori,Movie,2024,12
tt15661136,Superman: Jubilation,Movie,2024,5
tt3663576,Hoodie Girls Gang,Movie,2024,11
tt4519000,Jessica Frost,Movie,2024,9
tt5260932,Residence,Movie,2024,6
tt5834410,The Tiger's Apprentice,Movie,2024,2
tt8790086,Kraven the Hunter,Movie,2024,8
tt16401200,Rigged,Movie,,
tt15716012,Trail Blazers: The Aftermath (Part 1),Movie,2024,
tt16139258,Yodha,Movie,2024,3
tt16867258,Sheran Di Kaum Punjabi,Movie,2024,4
tt17074300,Dying for Living,Movie,2024,12
tt17506650,Dead Heist,Movie,2024,10
tt18072316,Bade Miyan Chote Miyan,Movie,2024,4
tt18340690,Luna in Love,Movie,2024,7
tt19314966,Two Worlds Back,Movie,,
tt19892640,The Last Aztec Warrior,Movie,2024,5
tt20873392,IJ Inspector Jamshed,Movie,2024,12
tt21692408,Kung Fu Panda 4,Movie,2024,3
tt23461428,Lal Salaam,Movie,2024,2
tt22062956,Meinong's Jungle,Movie,2024,6
tt22084516,Karate Kid,Movie,2024,6
tt24948640,Agent Narasimha-117,Movie,2024,1
tt26446278,The Count of Monte-Cristo,Movie,2024,6
tt26685948,The Dark Face,Movie,2024,8
