Nombre,Puntuacion_IMDB,Puntuacion_Rotten_Tomatoes,Director,Guionistas,Argumento,Duracion
Pasuon (Greed),N/A,N/A,Bryan Jimenez,Bryan Jimenez,"In a remote area of bucolic town, Bodong, a young native boy stumbled upon a river full of free gold. Though trying to keep the location of the area to him, Bodong's life begins to complicate when his friend Alec starts to confront him about the site. Inner greed starts to brew between the two as they fight even to death to take control of the boundless treasure.",N/A
Snap!,N/A,N/A,Kristian Foldager,Oliver DueKarla LøkkeMikkel Arndt,,N/A
Kshudha,N/A,N/A,Vijay Kumar,Vijay Kumar,A dumb orphan child in search of his basic needs tries to survive in this harsh cruel world. Can he ...? Will he ...?,N/A
Tunnel,N/A,N/A,Viktor Bulyha,Viktor Bulyha,"It is never too late to give a hand, for ""Blessed are the peacemakers ..."".",N/A
Long Gone Girl,N/A,N/A,Clay Rosen,Clay Rosen,She has to leave the house as soon as possible but something holds her back.,N/A
Cupcake,N/A,N/A,Lucas BarrosLuci Barros,Luci Barros,,N/A
180 grados,N/A,N/A,Esteban Calderín,Esteban Calderín,,N/A
Halkara,N/A,N/A,Sanjeev Ratna Shakya,Sanjeev Ratna Shakya,Mail service in Nepal is shutting down. This makes Gyan bhadur decide whether to stay with his family or accept his transfer to the city.,N/A
Stuck in the Corners,N/A,N/A,Aryeh-OrTre Shallowhorn,Aryeh-OrTre Shallowhorn,"Andre Thompson was a college bound highschool senior from the wrong neighborhood. As he struggles to make it out and follow his dreams, his environment fights to pull him under.",N/A
32,N/A,N/A,Barthelemy Despax,Ugo Bouccara,"Upon waking, Antoine realizes she doesn't know where she is. It is not easy for him to discover that he is actually dead and is now in the Reincarnation Department. In addition, the officials do not try to help him.",N/A
Sosed,N/A,N/A,Slava Kirillov,Slava Kirillov,"We never really know who our neighbors are. We see them every day, exchange conventional courtesies, and have no idea what's going on behind the closed doors of their apartments. Only after getting to know the life of the film's protagonist do we begin to really understand that not everything is as simple as it may seem at first glance.",N/A
Dzien dobry,N/A,N/A,Milena Dutkowska,Milena Dutkowska,"Tadeusz, in an elegant suit, sets off to a clearing by bicycle to finish with himself. On the way, however, he loses a rope and a stool. A grotesque story about the meaning of life and death.",N/A
Fuga D,N/A,N/A,Alicja Stasiak,Alicja Stasiak,"Daniel Rachowski is a young man who makes a voluntary decision about psychiatric treatment in a hospital. He is unable to cope with his own emotions, and has difficulty succumbing to hospital discipline. At the ward, he meets a nurse who is fascinated by him. Due to the lack of satisfactory treatment progress, Daniel is removed from the ward and returns home to his mo... Leer todo",N/A
