Nombre,Puntuacion_IMDB,Puntuacion_Rotten_Tomatoes,Director,Guionistas,Argumento,Duracion
Consequências,"6,8",N/A,Luis Ismael,Luis Ismael,"Mario and Alice are inside a car driving to the airport for one more vacation. Although, Mario has to make one last drop at a client's before heading out. Alice questions him. She wants to know more. Who is this man by her side? Is she ready to find out?",10min
Blood Ties,N/A,N/A,Ryan GriswoldLarry Thompson,Amanda GriswoldRyan GriswoldLarry Thompson,"An assassin, Drake, wakes up after being badly beaten after killing a man. His torturer is found in an adjacent room beating Drake's girlfriend, Christine, but is stopped by Drake before he is able to do any worse. After beating the torturer and rescuing Christine, they make a harrowing escape only to find their kidnapper with a few goons. Christine sees that the man ... Leer todo",7min
Appleton,N/A,N/A,Jimmy Costa,Gregory CebulskiJimmy Costa,,22min
Rialto Twirlers,N/A,N/A,N/A,N/A,"In a swirl of pom poms, twirling batons, sparkle and feathers, Rialto Twirlers captures a secret moment of unity and beauty as a dance troop rehearse their routine for the final time before a national majorette competition.",6min
The Darco File,N/A,N/A,Djon Sende,Djon Sende,,10min
Caged Dreams,"3,7",N/A,Pete Guzzo,Paul Guzzo,"An MMA trainer, Mac, adopts his deceased friend's son, Randy, and trains him to be a professional fighter.",25min
Bail Out,"7,5",27%,Dennis O'Neill,Dennis O'Neill,"An NYPD Detective moves to Ft. Worth, Texas to help his ailing uncle with his Bail Bonds business. While there, he [Jimmy O'Neill] opens a Private Detective agency and goes after the 'Skips' from Bail.",35min
Birthday Girl,N/A,59%,Todd Bradley,Todd Bradley,,5min
Watching the Detectives,N/A,54%,Tim Carr,Tim Carr,"Jack ""Chappy Chapman is a divorced, outsourced banker who starts his life all over again by taking a job as an undercover security guard in a department store. He adapts to his new life with quirky co workers, shoplifting criminals, and upholding the law of the department store, no matter how bizarre the situation may be. This is a show about solidarity, new beginning... Leer todo",N/A
Soulless,N/A,75%,Thomas J. Post,Tosh Roberts,"The greatest trick evil has ever learned, is appearing to be good.",28min
Lapse,N/A,N/A,Justin Lucas,Justin LucasMitchell Lucas,,9min
Just Cops,N/A,N/A,Theo Love,William Jehu Garroutte,,8min
Evil Cats,N/A,N/A,Elia Anie,N/A,,2min
A Disruption in the Routine of Eamonn,N/A,N/A,Patrick T. Griffin,Eamonn M. GriffinPatrick T. Griffin,,3min
Shot,N/A,N/A,Amir Bazrafshan,Amir Bazrafshan,,13min
Platinum Chisel,N/A,N/A,Johnny LopezRichard Ellis,Alex BosiMike Lewis,"A quirky teenage boy sets up a paranormal detective agency in his bedroom, and quickly finds himself entangled in a quest for love and the Holy Grail.",7min
Gunman,N/A,43%,David Rezek,N/A,,5min
Screenplay,N/A,N/A,Nicholas Acosta,Nicholas AcostaSean DahlenRandy Korompis,What's real? What's your imagination? What matters most?,21min
Pillars of Hope,N/A,N/A,Imraan Ismail,Imraan Ismail,,35min
Hell of a Wedding,"7,6",N/A,George Somerwill,George Somerwill,,10min
Sweet Crime,N/A,N/A,Trevor Graciano,Trevor Graciano,An eleven year old boy watches as four masked men feud over the missing loot from a botched Halloween bank robbery.,10min
Oneness and Sharing at Out of Africa Wildlife Park,N/A,N/A,N/A,N/A,The story of a group of people who have dedicated their lives to caring for wild animals.,28min
Svefnrof,N/A,N/A,Ragnar Snorrason,Ragnar Snorrason,,23min
Follow Me Down,N/A,N/A,Lee Whittle,N/A,"""Follow Me Down"" is a short suspense/thriller, told in a non-verbal story. It follows a man with a guilty conscience, on his search for signs of life, after he discovers that everyone is dead. Shortly after waking up from his usual nightmares, ""Johnny"" (Eddie Mahalick) notices that he is all alone and that society has collectively dropped dead. Everyone, all at the sa... Leer todo",30min
Dark Roads,N/A,N/A,Jason Kent Carpenter,Jason Kent CarpenterJason Kent Carpenter,"Paul Sansone is a new recruit to the most powerful and dangerous crime syndicate on the west coast. As he does the syndicate's dirty work, he encounters a girl form Eastern Europe who is being sold as human traffic. This girl reminds Paul of someone close to him in his past who was brutally murdered by mob members. He helps her escape from her imprisonment. With the U... Leer todo",14min
Lying Right Here,"8,2",N/A,Chad Knutsen,Matt HeacockChad Knutsen,"The story of Nico and Cutter, two dirty cops who retired early after keeping the money found at a crime scene. They are called in to the Crime lord Dalton Black's attorney's office following his death in a prison mess hall riot. Nico and Cutter are surprised when the lovely attorney reads them Mr. Black's last will and testament, which bequeaths the other half of his ... Leer todo",15min
Addicted,N/A,N/A,N/A,N/A,,19min
Tim Juniverse,"8,0",N/A,Ali Kapadia,Ali Kapadia,,10min
Master Defender,N/A,N/A,Stephen C. Ray,Stephen C. Ray,Those that seek to do evil must face Master Defender.,33min
Anthony's Quest for Love,N/A,N/A,Klas Eriksson,Klas Eriksson,,15min
Pixels,"7,5",18%,N/A,N/A,"Una invasión de pixels invade Nueva York; los clásicos arcades como Tetris, Pacman, Space Invaders o Froggy cobran vida y empiezan a pixelar la ciudad.",2min
Gemini Rising,N/A,N/A,Ben Dixon,Ben Dixon,"A broken lift, scheming thugs, car chases, eight flights of stairs, and a dashing young man in a loud yellow coat complicate a young mother's attempt to take her baby out for the day.",8min
