Fecha,Mejor Película,Mejor Director,Mejor Actor,Mejor Actriz
27 de febrero de 2011,The King's Speech,T. Hooper(The King's Speech),C. Firth(The King's Speech),N. Portman(Black Swan)
26 de febrero de 2012,The Artist,M. Hazanavicius(The Artist),J. Dujardin(The Artist),M. Streep(The Iron Lady)
24 de febrero de 2013,Argo,A. Lee(Life of Pi),D. Day-Lewis(Lincoln),J. Lawrence(Silver Linings Playbook)
2 de marzo de 2014,12 Years a Slave,A. Cuarón(Gravity),M. McConaughey(Dallas Buyers Club),C. Blanchett(Blue Jasmine)
22 de febrero de 2015,Birdman or (The Unexpected Virtue of Ignorance),A. G. Iñárritu(Birdman or (The Unexpected Virtue of Ignorance)),E. Redmayne(The Theory Of Everything),J.Moore(Still Alice)
28 de febrero de 2016,Spotlight,A. G. Iñárritu(The Revenant),L. DiCaprio(The Revenant),B. Larson(Room)
26 de febrero de 2017,Moonlight,D. Chazelle(La La Land),C. Affleck(Manchester by the Sea),E. Stone(La La Land)
4 de marzo de 2018,The Shape of Water,G. del Toro(The Shape of Water),G. Oldman(Darkest Hour),"F. McDormand(Three Billboards Outside Ebbing, Missouri)"
24 de febrero de 2019,Green Book,A. Cuarón(Roma),R. Malek(Bohemian Rhapsody),O. Colman(La favorita)
9 de febrero de 2020,Parasite,Bong J.(Parasite),J. Phoenix(Joker),R. Zellweger(Judy)
25 de abril de 2021,Nomadland,C. Zhao(Nomadland),A. Hopkins(The Father),F. McDormand(Nomadland)
27 de marzo de 2022,CODA,J. Campion(The Power of the Dog),W. Smith(King Richard),J. Chastain(The Eyes of Tammy Faye)
12 de marzo de 2023,Everything Everywhere All at Once,D. Kwan D. Scheinert(Everything Everywhere All at Once),B. Fraser(The Whale),M. Yeoh(Everything Everywhere All at Once)
10 de marzo de 2024,Oppenheimer,C. Nolan(Oppenheimer),C. Murphy(Oppenheimer),E. Stone(Poor Things)
