Tipo,Nombre,Año de Estreno,Mes de Estreno,ID de la Película
Movie,Tekken,2010,3,tt0411951
Movie,Venus & Vegas,2010,11,tt0423474
Movie,The A-Team,2010,6,tt0429493
Movie,Segurança Nacional,2010,5,tt0439801
Movie,Scott Pilgrim vs. the World,2010,11,tt0446029
Movie,Taken by Force,2010,,tt0465637
Movie,"Guns, Drugs and Dirty Money",2011,,tt0464032
Movie,Komaram Puli,2010,9,tt0464162
Movie,Prince of Persia: The Sands of Time,2010,5,tt0473075
Movie,Unstoppable,2010,12,tt0477080
Movie,The Losers,2010,4,tt0480255
Movie,Clash of the Titans,2010,4,tt0800320
Movie,Cross the Line,2010,11,tt0810815
Movie,Gangster Exchange,2010,2,tt0846004
Movie,Zenitram,2010,5,tt0861747
Movie,How to Train Your Dragon,2010,3,tt0892769
Movie,Westbrick Murders,2010,5,tt0903036
Movie,House Under Siege,2010,3,tt0914823
Movie,The Dead Undead,2010,5,tt0923653
Movie,The Waiter,2010,3,tt0934981
Movie,The Last Airbender,2010,8,tt0938283
Movie,Salt,2010,8,tt0944835
Movie,Green Zone,2010,4,tt0947810
Movie,Robin Hood,2010,5,tt0955308
Movie,Private Security Officer: Los Angeles,2010,12,tt0960827
Movie,The Sorcerer's Apprentice,2010,7,tt0963966
Movie,The Fighter,2011,3,tt0964517
Movie,White Wall,2010,5,tt0969653
Movie,Headhunter: The Assessment Weekend,2010,8,tt0973809
Movie,Sinatra Club,2010,9,tt0975738
Movie,Boyle Heights,2011,,tt0977639
Movie,Machete,2010,9,tt0985694
Movie,Adventure Scouts,2010,10,tt0994917
Movie,Megamind,2010,12,tt1001526
Movie,He - The Only One,2010,,tt10087304
Movie,Knight and Day,2010,7,tt1013743
Movie,Dylan Dog: Dead of Night,2011,4,tt1013860
Movie,Deal,2010,,tt1020011
Movie,Centurion,2010,5,tt1020558
Movie,Kill Speed,2012,6,tt1027683
Movie,The Warrior's Way,2010,12,tt1032751
Movie,The Book of Eli,2010,3,tt1037705
Movie,Legion,2010,1,tt1038686
Movie,The King of Fighters,2010,8,tt1038685
Movie,The Bounty Hunter,2010,4,tt1038919
Movie,The Nutcracker in 3D,2011,12,tt1041804
Movie,Repo Men,2010,6,tt1053424
Movie,Bhairava IPS,2010,9,tt10622122
Movie,Bare Knuckles,2010,,tt1063327
Movie,Private Number,2010,7,tt10751652
Movie,Beyond the Grave,2015,2,tt1075642
Movie,Jonah Hex,2010,9,tt1075747
Movie,Elimination,2011,6,tt1078597
Movie,Krews,2010,3,tt1078583
Movie,Jerry Cotton,2010,3,tt1080019
Movie,Pusher,2010,10,tt1082075
Movie,Deadly Impact,2010,7,tt1082577
Movie,Mexican Bloodbath,2010,2,tt1084717
Movie,Orsova Noua 5: Epilog,2010,,tt10931336
Movie,The Rig,2010,10,tt1093906
Movie,Frenchy,2022,1,tt1286146
Movie,Killers,2010,6,tt1103153
Movie,TRON: Legacy,2011,1,tt1104001
Movie,You Have the Right to Remain Violent,2010,5,tt1107855
Movie,Seres: Genesis,2010,9,tt1114731
Movie,Jackass 3D,2010,10,tt1116184
Movie,Di renjie: Tong tian di guo,2010,9,tt1123373
Movie,The Beautiful Outsiders,2010,,tt11274532
Movie,Sisanje,2010,10,tt1129437
Movie,Sinners and Saints,2011,8,tt1130969
Movie,Takers,2010,11,tt1135084
Movie,Krach,2010,9,tt1135083
Movie,Undercover Rascals,2010,10,tt11361770
Movie,Tales of an Ancient Empire,2010,7,tt1136688
Movie,Moo-jeok-ja,2010,9,tt1138442
Movie,The Karate Kid,2010,7,tt1155076
Movie,L'immortel,2010,5,tt1167638
Movie,Jabroo Te Nizam,2010,10,tt11755644
Movie,From Paris with Love,2010,3,tt1179034
Movie,Les aventures extraordinaires d'Adèle Blanc-Sec,2010,4,tt1179025
Movie,Black Death,2010,6,tt1181791
Movie,Bunraku,2011,11,tt1181795
Movie,Barcelona vs Real Madrid,2010,11,tt11823092
Movie,Stag Night of the Dead,2010,10,tt1183489
Movie,Veer,2010,1,tt1185412
Movie,Kung Fu Magoo,2010,5,tt1186365
Movie,Dogs of Chinatown,2010,,tt1188482
Movie,Toonpur Ka Superrhero,2010,12,tt1189006
Movie,Corrado,2010,6,tt1193473
Movie,Denizen,2010,4,tt1194424
Movie,FC Barcelona vs Hércules CF,2010,9,tt11947600
Movie,Kites,2010,5,tt1198101
Movie,Birmingham City vs Tottenham Hotspur,2010,1,tt11992716
Movie,Id,2010,5,tt1201661
Movie,Innocent,2010,1,tt1202232
Movie,Shadows in Paradise,2010,2,tt1212442
Movie,Mercy,2010,6,tt1213590
Movie,Tic,2010,,tt1217301
Movie,Legend of the Guardians: The Owls of Ga'Hoole,2010,9,tt1219342
Movie,Resident Evil: Afterlife,2010,9,tt1220634
Movie,Urgency,2015,1,tt1221867
Movie,The Big I Am,2010,4,tt1225302
Movie,Edge of Darkness,2010,1,tt1226273
Movie,Around Hell,2010,10,tt12282568
Movie,Iron Man 2,2010,4,tt1228705
Movie,Downstream,2010,2,tt1229236
Movie,Collide,2010,12,tt1230120
Movie,Hwanghae,2010,12,tt1230385
Movie,Wild Target,2010,6,tt1235189
Movie,Disarmed,2010,11,tt1237373
Movie,Tour de Force,2010,1,tt1242787
Movie,The Tourist,2011,1,tt1243957
Movie,RED,2010,10,tt1245526
Movie,Magic Journey to Africa,2010,5,tt1247681
Movie,The Lazarus Papers,2011,7,tt1247400
Movie,Rollers,2010,,tt1248300
Movie,Kick-Ass,2010,4,tt1250777
Movie,The Tenant,2010,,tt1258998
Movie,Icarus,2010,7,tt1261862
Movie,Dead in the Head,2010,,tt1262983
Movie,The Last Rites of Ransom Pride,2020,6,tt1268970
Movie,Rogues Gallery,2012,5,tt1268987
Movie,Hatchet II,2013,7,tt1270835
Movie,Kandagar,2010,2,tt1272018
Movie,Ascension,2010,3,tt12730876
Movie,The Spy Next Door,2010,2,tt1273678
Movie,An Immortal Tale,2010,4,tt1274272
Movie,Liverpool vs Blackpool,2010,10,tt12775128
Movie,2010 Championship Playoff Final,Desconocido,Desconocido,tt12787882
Movie,Mard No.1,2010,,tt12788652
Movie,Ramaa: The Saviour,2010,11,tt1279105
Movie,Banglar King Kong,2010,6,tt12798342
Movie,Genghis Khan: The Story of a Lifetime,2010,,tt1280009
Movie,Supreme Champion,2010,7,tt1283546
Movie,One Long Day,2010,8,tt1283930
Movie,Jitsuroku wakagashira,2010,,tt12845920
Movie,Lahore,2010,3,tt1285245
Movie,Gutter King,2010,,tt1286746
Movie,Cats & Dogs: The Revenge of Kitty Galore,2010,7,tt1287468
Movie,A Goldfish of the Flame,2010,12,tt1288587
Movie,Everyday Black Man,2010,1,tt1289397
Movie,Snabba cash,2010,10,tt1291652
Movie,Allah Ke Banday,2010,11,tt1292642
Movie,Dancing Ninja,2010,,tt1294141
Movie,The Ascent,2010,,tt1303680
Movie,Last Letters from Monte Rosa,2010,8,tt1305039
Movie,Enthiran,2010,10,tt1305797
Movie,The Big Bang,2011,2,tt1307873
Movie,American Grindhouse,2010,3,tt1307861
Movie,Lamhaa: The Untold Story of Kashmir,2010,7,tt1309561
Movie,The Potential Inside,2010,9,tt1315963
Movie,Sanada kunoichi ninpo-den kasumi shojo hi Densetsu,2010,,tt13183950
Movie,Little Big Soldier,2010,2,tt1319718
Movie,Shank,2010,3,tt1320296
Movie,The Expendables,2010,8,tt1320253
Movie,La hora cero,2010,10,tt1322302
Movie,Fight or Flight,2010,4,tt1323917
Movie,Pangaa Gang,2010,1,tt13242972
Movie,The Twilight Saga: Eclipse,2010,6,tt1325004
Movie,Opération Casablanca,2010,10,tt1327808
Movie,Death Calls,2010,9,tt1328873
Movie,Bold Native,2010,,tt1328908
Movie,The Final Storm,2010,4,tt1331329
Movie,Kongen av Bastøy,2011,12,tt1332134
Movie,Shoot the Hero,2010,1,tt1332119
Movie,Raavan,2010,6,tt1334470
Movie,Fast Lane,2014,1,tt1335992
Movie,The Wylds,2010,8,tt1336619
Movie,Nokas,2010,10,tt1337366
Movie,Mei loi ging chat,2010,4,tt1337055
Movie,Brestskaya krepost,2010,11,tt1343703
Movie,Nude Nuns with Big Guns,2010,9,tt1352388
Movie,The Blue Seal,2010,7,tt1352672
Movie,Jaljala,2010,11,tt13624634
Movie,Inception,2010,7,tt1375666
Movie,Gunless,2010,4,tt1376195
Movie,Freight,2010,10,tt1376404
Movie,When Soldiers Cry,2010,2,tt1378811
Movie,Forged,2010,7,tt1380995
Movie,Die Bielefeld Verschwörung,2010,6,tt1381403
Movie,Cop Out,2010,3,tt1385867
Movie,The Other Guys,2010,11,tt1386588
Movie,The Dead,2012,9,tt1386925
Movie,Ip Man 2,2010,4,tt1386932
Movie,Baseline,2012,8,tt1390397
Movie,Desafío,2010,11,tt1392982
Movie,Once Upon a Time in Mumbaai,2010,7,tt1395054
Movie,Project Purgatory,2010,,tt1395783
Movie,Zatôichi: The Last,2010,5,tt1400558
Movie,Slime City Massacre,2010,3,tt1401631
Movie,Rage,2010,5,tt1403987
Movie,The Bannen Way,2010,1,tt1404830
Movie,Six Days in Paradise,2010,,tt1405414
Movie,Le baltringue,2010,1,tt1405807
Movie,Twelve,2011,1,tt1407084
Movie,Krantiveer: The Revolution,2010,6,tt1408029
Movie,13 Hrs,2010,8,tt1411232
Movie,Deyueru masutazu en no kizuna XX,2010,8,tt14128502
Movie,Gôruden suranbâ,2010,1,tt1413529
Movie,Tracker,2011,4,tt1414378
Movie,Texas Frightmare Massacre,2010,4,tt1416343
Movie,Predators,2010,7,tt1424381
Movie,True Legend,2010,2,tt1425257
