Tipo,Nombre,Año de Estreno,Mes de Estreno,ID de la Película
Movie,Return to Babylon,2013,8,tt0255820
Movie,The Secret Life of Walter Mitty,2014,1,tt0359950
Movie,In Secret,2014,4,tt0409379
Movie,42,2013,4,tt0453562
Movie,Without Warrant,2007,,tt0479700
Movie,uwantme2killhim?,2015,4,tt0485061
Movie,Syrup,2013,5,tt0762138
Movie,Santorini Blue,2013,5,tt0780625
Movie,Dallas Buyers Club,2014,1,tt0790636
Movie,Devil's Knot,2014,6,tt0804463
Movie,La mula,2013,5,tt0804509
Movie,Meridian Lines,2013,5,tt0811613
Movie,The Book Thief,2014,3,tt0816442
Movie,The Power of Few,2013,2,tt0817545
Movie,Approaching Midnight,2013,8,tt0837559
Movie,The Fallen Word,2013,5,tt0843839
Movie,Young American Dream,2013,12,tt0855705
Movie,Snitch,2013,4,tt0882977
Movie,Let Me Survive,2013,11,tt0960727
Movie,Shroud,2013,2,tt0963948
Movie,The Unwanted,Desconocido,Desconocido,tt0983190
Movie,The Wolf of Wall Street,2014,1,tt0993846
Movie,Parees,2013,4,tt10017274
Movie,Im Dickicht Der Städte,2013,2,tt10035152
Movie,Whip,2013,,tt10081228
Movie,Anubhava,2013,,tt10081128
Movie,Tendlya Nighala Oscarla,2013,5,tt10087228
Movie,Sutradhaar,2013,8,tt10087552
Movie,Sat Na Gat,2013,9,tt10087614
Movie,Govinda,2013,8,tt10087544
Movie,Nan Ni Wan,2013,3,tt10095420
Movie,Mao Zedong and Qi Baishi,2013,12,tt10095466
Movie,Rock and a Hard Place,2013,6,tt10094394
Movie,El País de Abril,2013,5,tt10111144
Movie,Dhilakani,2013,5,tt10109692
Movie,Karma ke Rati,2013,7,tt10107250
Movie,Pablo,2013,6,tt10150576
Movie,Illuminate,2013,5,tt10174596
Movie,"Luca, l'évangile d'un homo",2013,10,tt10182318
Movie,Hati Ke Hati,2013,10,tt10240846
Movie,The Magnificent Eleven,2013,5,tt1027873
Movie,Yaanam,2013,9,tt10287560
Movie,Anna et Otto,2013,,tt10318272
Movie,Robosapien: Rebooted,2013,5,tt1037222
Movie,Crónicas de la panza de burro,Desconocido,Desconocido,tt10436214
Movie,"Girl, Adopted",2013,9,tt1049395
Movie,Aiuto,2013,8,tt10514866
Movie,Tala Dar Mes,2013,,tt10574344
Movie,Adult World,2014,2,tt1067765
Movie,Fight Till The End,2013,5,tt10713774
Movie,The Dark Party,2013,5,tt1076250
Movie,Suhagan Shobhe Sasariye,2013,3,tt10778738
Movie,Muchachos,2013,8,tt10856746
Movie,Lone Survivor,2014,2,tt1091191
Movie,Finding Cyrus,2013,3,tt10918142
Movie,Adhyaya,2013,1,tt10921182
Movie,Yakubu,2013,11,tt10955162
Movie,El Ultimo Minuto,2013,2,tt10968858
Movie,Married Woman's Rendezvous - Nakadashi Adultery Document,2013,10,tt10996450
Movie,Inspector Chandni,2013,11,tt11017782
Movie,ZhZh,2013,,tt11068454
Movie,E Kaisan Pratha,2013,10,tt11092064
Movie,Tu Hi to Meri Jaan Hai Radha,2013,7,tt11091876
Movie,Munafiq,2013,6,tt11114766
Movie,Tie qiang jin hou,2013,,tt11121340
Movie,Hei Luo Li he Bai Luo Li,2013,12,tt11122080
Movie,Dryland,2013,10,tt11163758
Movie,Jours de Cendre,2013,7,tt11178892
Movie,Va Anh Se Tro Lai,2013,11,tt11244306
Movie,Aakasam Lo Sagam,2013,7,tt11252988
Movie,The Day Comes,2013,2,tt11341310
Movie,Mahabharat Aur Barbareek,2013,2,tt11345826
Movie,Ivan e il suo strano tempo,2013,5,tt11388642
Movie,Rye Rye,2013,4,tt11396512
Movie,Khai,2013,10,tt11407320
Movie,En busca,2013,,tt11406678
Movie,Lost,2013,9,tt11431344
Movie,Boss Lady,2013,7,tt11469958
Movie,Following the Ninth: In the Footsteps of Beethoven's Final Symphony,2014,10,tt1147543
Movie,Jumeli,2013,8,tt11551600
Movie,Fakkad,2013,,tt11581554
Movie,Gori Prem Kare to Hacho Karje,2013,9,tt11646462
Movie,Slank Nggak Ada Matinya,2013,12,tt11646170
Movie,The Love Section,2013,,tt1169273
Movie,Since I Don't Have You,2014,11,tt1169164
Movie,Leipaklei,2013,4,tt11714298
Movie,Liwanag sa dapithapon,2013,3,tt11738130
Movie,Ama namin,2013,3,tt11765472
Movie,Tinig: The Dulce Story,2013,3,tt11765704
Movie,Jack et la mécanique du coeur,2014,2,tt1181840
Movie,The Ones You Love,2013,9,tt1185832
Movie,Sincere Allegiance,2013,9,tt11889980
Movie,Holli,2013,6,tt11890680
Movie,Eastern Melody,2013,,tt11928374
Movie,One Chance,2013,10,tt1196956
Movie,The Necessary Death of Charlie Countryman,2013,9,tt1196948
Movie,Meghdhanusya - The Colour of Life,2013,4,tt12003710
Movie,Ganje ki Kali,2013,11,tt12036782
Movie,Last Vegas,2013,12,tt1204975
Movie,Mamaros,2013,11,tt1205506
Movie,Out of the Furnace,2014,1,tt1206543
Movie,Beyond the Mat,2013,,tt1207922
Movie,A+,2013,10,tt1212055
Movie,Every Seventh Wave,2013,,tt12146112
Movie,Cash Cow,2013,,tt12153262
Movie,Arlo,2013,,tt12157336
Movie,Man in the Moon,2013,,tt12176544
Movie,The Flea,2013,,tt12176600
Movie,Cobrador de la Mafia,Desconocido,Desconocido,tt12198136
Movie,Oh! Squints II,2013,,tt12246908
Movie,Once Upon a Holiday,2013,,tt12273118
Movie,Buro Johnson,2013,3,tt12310770
Movie,Broken City,2013,3,tt1235522
Movie,Faute De Frappe,2013,3,tt12357106
Movie,Deseo,2013,9,tt1236434
Movie,Dil Pardesi Ho Gaya,2013,9,tt12385290
Movie,The Sorrows,2013,4,tt12390344
Movie,Approach to Love,2013,10,tt12485614
Movie,Tsikboy,2013,,tt12543916
Movie,Isyarat,2013,12,tt12552080
Movie,Bab sharki,2013,2,tt12619402
Movie,A Star for Rose,2013,10,tt1262962
Movie,Paradise,2013,10,tt1262990
Movie,Ranangan,2013,4,tt12677282
Movie,Welcome Obama,2013,9,tt12704560
Movie,Linz - Quando todos os acidentes acontecem,2013,12,tt12732826
Movie,NJPW Road to Tokyo Dome,2013,12,tt12731276
Movie,Dirty Picture: Silk Sakkath Maga,2013,8,tt12748344
