,Tipo,Nombre,Año de Estreno,Mes de Estreno,ID de la Película,Genero
0,Movie,Pál Adrienn,2011,6,tt0146592,Accion/Drama
1,Movie,Oda az igazság,2010,2,tt0154039,Accion/Drama
2,Movie,A zöld sárkány gyermekei,2011,4,tt0162942,Accion/Drama
3,Movie,The Final Journey,2010,9,tt0230212,Accion/Drama
4,Movie,In My Sleep,2010,4,tt0326965,Accion/Drama
5,Movie,This Wretched Life,2010,7,tt0331312,Accion/Comedia/Drama
6,Movie,Blind Sided,Desconocido,Desconocido,tt0337882,Accion/Comedia/Drama
7,Movie,Anderson's Cross,2010,5,tt0393049,Accion/Comedia/Drama
8,Movie,Den milde smerte,2014,5,tt0396123,Accion/Drama
9,Movie,Capture the Flag,Desconocido,Desconocido,tt0402887,Accion/Drama
10,Movie,Utomlennye solntsem 2,2010,4,tt0403645,Accion/Drama
11,Movie,Tekken,2010,3,tt0411951,Accion/Drama
12,Movie,Disconnect,2010,8,tt0419692,Accion/Drama
13,Movie,Milenge Milenge,2010,7,tt0443331,Accion/Drama
14,Movie,Les 7 jours du talion,2010,11,tt0445054,Accion/Drama
15,Movie,Vidas pequeñas,2011,3,tt0444531,Accion/Drama
16,Movie,Dream Street,2010,1,tt0446686,Accion/Drama
17,Movie,Mad World,2010,8,tt0451108,Accion/Drama
18,Movie,El hada buena - Una fábula peronista,2010,4,tt0454155,Accion/Comedia/Drama
19,Movie,Memorias del desarrollo,2011,11,tt0457591,Accion/Drama
20,Movie,Drunkboat,2013,6,tt0460778,Accion/Drama
21,Movie,Federal,2010,10,tt0463311,Accion/Drama
22,Movie,Taken by Force,2010,,tt0465637,Accion/Drama
23,Movie,Sensual,2010,,tt0465760,Accion/Drama
24,Movie,Harlem Hostel,2010,2,tt0469094,Accion/Comedia/Drama
25,Movie,Cielito lindo,2010,6,tt0473343,Accion/Drama
26,Movie,The Deafening Silence of a Very Bright Light,Desconocido,Desconocido,tt0475983,Accion/Drama
27,Movie,The Greater Meaning of Water,2010,,tt0479051,Accion/Drama
28,Movie,Barry Munday,2010,3,tt0482461,Accion/Comedia/Drama
29,Movie,Bandeiji,2010,1,tt0482459,Accion/Drama
30,Movie,A Woman Is a Woman,2010,,tt0483839,Accion/Comedia/Drama
31,Movie,PrimeMates,2010,1,tt0490199,Accion/Comedia/Drama
32,Movie,Ramona and Beezus,2010,7,tt0493949,Accion/Comedia/Drama
33,Movie,Good Sharma,2017,,tt0494229,Accion/Drama
34,Movie,O Inimigo Sem Rosto,2010,8,tt0495037,Accion/Drama
35,Movie,Tranced,2010,,tt0499608,Accion/Drama
36,Movie,Love & Other Drugs,2011,1,tt0758752,Accion/Comedia/Drama
37,Movie,King of the Avenue,2010,9,tt0770778,Accion/Drama
38,Movie,Night Catches Us,2010,12,tt0775543,Accion/Drama
39,Movie,L'illusionniste,2010,7,tt0775489,Accion/Drama
40,Movie,El cielo elegido,2012,9,tt0774519,Accion/Drama
41,Movie,The Wolfman,2010,2,tt0780653,Accion/Drama
42,Movie,The First Grader,2011,8,tt0790663,Accion/Drama
43,Movie,13,2011,6,tt0798817,Accion/Drama
44,Movie,Ironmen,2010,,tt0800092,Accion/Drama
45,Movie,Nemesis,2010,10,tt0800353,Accion/Drama
46,Movie,It's Kind of a Funny Story,2010,10,tt0804497,Accion/Comedia/Drama
47,Movie,Ashes,2010,9,tt0815101,Accion/Drama
48,Movie,Flipped,2010,9,tt0817177,Accion/Comedia/Drama
49,Movie,Soupernatural,2010,,tt0818172,Accion/Drama
50,Movie,Waking Madison,2010,,tt0831280,Accion/Drama
51,Movie,The Kids Are All Right,2010,12,tt0842926,Accion/Comedia/Drama
52,Movie,The Town,2010,10,tt0840361,Accion/Drama
53,Movie,Killer by Nature,2010,,tt0844866,Accion/Drama
54,Movie,Risen,2011,5,tt0850709,Accion/Drama
55,Movie,Bloudím,2010,10,tt0852939,Accion/Drama
56,Movie,A Summer Song,2012,,tt0853002,Accion/Drama
57,Movie,Kolorádó Kid,2010,10,tt0856796,Accion/Drama
58,Movie,Wide Blue Yonder,2012,5,tt0858500,Accion/Comedia/Drama
59,Movie,"Surprise, Surprise",2010,8,tt0871893,Accion/Drama
