Tipo,Nombre,Año de Estreno,Mes de Estreno,ID de la Película
Movie,The Flash,2023,6,tt0439572
Movie,The Last Voyage of the Demeter,2023,8,tt1001520
Movie,Shazam! Fury of the Gods,2023,3,tt10151854
Movie,Rapture Camp,2023,5,tt10178004
Movie,El Principe Rojo,2023,9,tt10284138
Movie,Bambi,Desconocido,Desconocido,tt10298848
Movie,Creepers 'R Us,2023,9,tt10305228
Movie,Bad Boy,2023,4,tt10351180
Movie,John Wick: Chapitre 4,2023,3,tt10366206
Movie,Miraculous: Filmen om Ladybug & Cat Noir,2023,7,tt10364034
Movie,The Place in Between,2023,7,tt10425998
Movie,Major Majestyk: Victorian demon-hunter,2023,8,tt10447006
Movie,Major Majestyk: The Diaries,2023,8,tt10447052
Movie,Finding Tess,2023,11,tt10461964
Movie,Scavenger,2023,,tt10471692
Movie,The Hunger Games: The Ballad of Songbirds & Snakes,2023,11,tt10545296
Movie,Raw Power,2023,5,tt10548482
Movie,Tipppsy,2023,11,tt10610440
Movie,The Marvels,2023,11,tt10676048
Movie,Os Perebas,2023,11,tt10750578
Movie,Timir,2023,3,tt10757454
Movie,Next Goal Wins,2024,1,tt10767052
Movie,Supernatural Assassins,2023,10,tt10765798
Movie,Tales from the Great War,2023,5,tt10773920
Movie,Al Reves,2023,2,tt10810852
Movie,Cloud by Night,2023,10,tt10849046
Movie,Minamoto Monogatari,2023,4,tt10929648
Movie,Dwarfhammer,2023,12,tt10939740
Movie,#Models Wanted,2023,6,tt10946474
Movie,Ant-Man and the Wasp: Quantumania,2023,2,tt10954600
Movie,Katakiuchi,2023,6,tt10952352
Movie,Untitled The Mafia: Payback Sequel,,,tt10955900
Movie,Mujeres Silenciosas,2023,10,tt10965102
Movie,Untitled Euro Horror,,,tt10986322
Movie,Silent Life: The Story of the Lady in Black,2024,2,tt1099209
Movie,The Silent Prayer,2023,4,tt11100698
Movie,Amadeo,2023,1,tt11143850
Movie,Creed III,2023,3,tt11145118
Movie,Go Go,2023,,tt11165686
Movie,Reception,2023,6,tt11170966
Movie,Dark Room,2023,12,tt11196176
Movie,Ai Lun,2023,6,tt11197400
Movie,Divine Flames,,,tt11218958
Movie,Divine Flames,,,tt11226102
Movie,Dark City: Interval_575,2023,9,tt11230362
Movie,De Vuelta Al Mundo,2023,4,tt11241232
Movie,Planet Gliese,2023,12,tt11246550
Movie,Vincent,2023,,tt11253182
Movie,The Out-Laws,2023,7,tt11274492
Movie,Butchers Bluff,2023,,tt11284972
Movie,Untitled Marvel (July 2023),2023,7,tt11290922
Movie,Untitled Marvel (Nov 2023),2023,11,tt11290924
Movie,Untitled 20th Century,2023,9,tt11304670
Movie,Wish,2023,11,tt11304740
Movie,Black Nightmares,2023,6,tt11306970
Movie,Parlour,2023,12,tt11343374
Movie,Yuna,2024,12,tt11379234
Movie,Pumpkin Film,2023,9,tt11399480
Movie,El Quinceañero De Mi Abuela,2023,4,tt11425114
Movie,Pátria,2023,10,tt11460290
Movie,CultureshockED,,,tt11541438
Movie,Wild and Free,2023,,tt11595092
Movie,Extraordinary Sacrifice,,,tt11601444
Movie,The Idiots,2023,10,tt11608090
Movie,Oliver Outloud,2023,1,tt11668514
Movie,Karga,2023,12,tt11697182
Movie,Gold Rush,,,tt11705740
Movie,Cookster,2023,,tt11760408
Movie,Ladies Are Pimps Too,2023,2,tt11779282
Movie,The Loverdoses,2023,8,tt11804530
Movie,The Sacrificed,2023,5,tt11834062
Movie,Untitled Project Valentina Sequel,,,tt11872772
Movie,Sophie's Rules,2023,1,tt11950404
Movie,Bugsy the Becoming,2023,8,tt11972054
Movie,The Butcher Baker,2023,,tt11995932
Movie,Varisu,2023,1,tt11998558
Movie,Man Eater,2023,,tt11995884
Movie,The Color Purple,2023,12,tt1200263
Movie,Karanliktaki Kadin,2023,5,tt12087678
Movie,Romeo & Juliet.,2023,5,tt12087154
Movie,Romeo Is Dead,,,tt12092594
Movie,Brain Hunter: New Breed,2023,1,tt12103444
Movie,Piedade,2023,,tt12109690
Movie,Onitsha Project,2023,11,tt12203834
Movie,Big George Foreman,2023,4,tt12226632
Movie,Death Tarot,2023,2,tt12247136
Movie,Vernissage hos Gud,2023,1,tt12254818
Movie,65,2023,3,tt12261776
Movie,Extraction II,2023,6,tt12263384
Movie,Eímai o Theós,2023,3,tt12283024
Movie,Joy,2023,12,tt12370358
Movie,Getting to the Plug,2023,2,tt12422694
Movie,Dark Entities,2023,4,tt12476674
Movie,The Armenian Spread,2023,4,tt12491132
Movie,72,2023,6,tt12494932
Movie,Common People,2023,9,tt12515422
Movie,Central Valley,2023,4,tt12543840
Movie,Sharper,2023,2,tt12573454
Movie,The Nothingness Club - Não Sou Nada,2023,10,tt12601334
Movie,Les Trois Mousquetaires - Milady,2023,12,tt12672620
Movie,The Three Musketeers - Part I: D'Artagnan,2023,4,tt12672536
Movie,Total Paranoia,2023,8,tt12675384
Movie,Mass State Lottery,2023,3,tt12781876
Movie,Luda godina - Povratak Zikine dinastije,2023,10,tt12802346
Movie,The Internationalist,2023,12,tt12821606
Movie,Your Place or Mine,2023,2,tt12823454
Movie,Fear,2023,4,tt12830948
Movie,The Next Solution,,,tt12831826
Movie,Singapur,2023,6,tt12887242
Movie,The Caller,,,tt12902374
Movie,Adipurush,2023,6,tt12915716
Movie,El exorcista: Creyente,2023,10,tt12921446
Movie,Necropolis,2023,8,tt12928782
Movie,Rhythm in Blues,2023,1,tt12948086
Movie,Operation Fortune,2023,1,tt7985704
Movie,The House That Eats Flesh,2023,,tt13037726
Movie,Wings,2023,4,tt13058466
Movie,Maura the Vampire Princess,2023,10,tt13064626
Movie,The United States of Horror: Chapter 3,2023,4,tt13110512
Movie,Shehzada,2023,4,tt13130948
Movie,La Luz Que Proyecta La Luna,2023,1,tt13129860
Movie,Mission Majnu,2023,1,tt13131232
Movie,Bholaa Shankar,2023,8,tt13131610
Movie,Demir Kadin Neslican,2023,1,tt13137290
Movie,Coming Soon,,,tt13157086
Movie,Ground Zero,2023,6,tt13186618
Movie,Meeting Kate,2023,12,tt13225414
Movie,Reptile,2023,9,tt13274016
Movie,"AHRIMAN, PART 1: Death Before Dying",2023,1,tt13280512
Movie,Two Heads,2023,10,tt13285868
Movie,Los buenos modales,2023,4,tt13290130
Movie,China Mobile,2023,12,tt13299922
Movie,Broken Pearls,2023,7,tt13301332
Movie,Oneida Flats,2023,2,tt13316134
Movie,High Weirdness,2023,9,tt13321744
Movie,Linen,,,tt13399424
Movie,Adversary: Wanted Dead or Alive,2023,11,tt13455814
Movie,Sombras Brancas,2023,4,tt13457948
Movie,"Amityville, Germany",2023,8,tt13489010
Movie,Little Dixie,2023,2,tt13614388
Movie,Choppa City Queens,2023,5,tt13640794
Movie,Arbitrium: The Final Days,,,tt13681698
Movie,Tarifte Ask Var,2023,2,tt13683908
Movie,Animal,2023,12,tt13751694
Movie,Shaakuntalam,2023,4,tt13761284
Movie,Untitled Universal Event Film,2023,1,tt13782874
Movie,Untitled Universal Event Film,2023,3,tt13793848
Movie,Fast & Furious X,2023,5,tt5433140
Movie,The Assassin Unleashed,2023,12,tt13808564
Movie,Zero Options,,,tt13812882
Movie,Johnny and the Golden Gifts,2023,,tt13831566
Movie,Spider-Man: Lotus,2023,8,tt13904644
Movie,Official Spacegirl: The Movie,2023,3,tt13929892
Movie,On A Wing and A Prayer,2023,4,tt13929998
Movie,Pros and Cons of Being Single,2023,4,tt13950336
Movie,S.P.E.E.D.,2023,10,tt13984144
Movie,Morbid: a Necromurder Story,2023,2,tt14009932
Movie,Penthouse,2023,,tt14160620
Movie,Rustin,2023,11,tt14160834
Movie,La novia de América,2023,1,tt14211906
Movie,Bullets,2023,4,tt14223946
Movie,Bratri,2023,10,tt14232442
Movie,Big Syrup and The Maple Men,2023,5,tt14259918
Movie,The Gravitation of Love,2024,12,tt14278620
Movie,Neniu,2023,3,tt14277254
Movie,Mrs. Chatterjee vs. Norway,2023,3,tt14295590
Movie,Peripheric Love,2023,1,tt14303550
Movie,The Judas Kiss,2023,12,tt1432114
Movie,Décolleté,2023,10,tt14317980
Movie,My Precious,2023,4,tt14326000
Movie,Trolls Band Together,2023,11,tt14362112
Movie,Tomorrow Before After,2023,4,tt14367552
Movie,Shin Kamen Rider,2023,3,tt14379088
Movie,Aagun Pakhi: The Midnight Club Chronicles,2023,11,tt14384196
Movie,Gunfight at Rio Bravo,2023,1,tt14388612
Movie,A Pedra dos Ometanimpes,2023,8,tt14421814
Movie,Los Skywatchers,2023,10,tt14433062
Movie,1919,2023,10,tt14446414
Movie,Rafadan Tayfa Galaktik Tayfa,2023,1,tt14451444
Movie,Paint,2023,4,tt14472156
Movie,The Second Casualty,2023,6,tt14477560
Movie,Halfway House,2023,9,tt14496180
Movie,High in the Clouds,2023,,tt1458167
Movie,Indiana Jones and the Dial of Destiny,2023,6,tt1462764
Movie,Les âmes soeurs,2023,4,tt14663154
Movie,Little Bastard,2023,7,tt14671498
Movie,SoulHood Saga II: The Finale,2023,5,tt14681272
Movie,Rainbows,2023,12,tt14695060
Movie,Burning Love,2023,11,tt14709996
Movie,The Psychology of Beauty,2023,2,tt14728586
Movie,Red Rain,2023,3,tt14734838
Movie,Untitled Marvel Disney (October 2023),2023,10,tt14743392
Movie,Untitled Marvel Disney (June 2023),2023,6,tt14743384
Movie,A Princesa de Rangoon,2023,12,tt14797058
Movie,Big Sur,2023,11,tt14802480
Movie,La extorsión,2023,4,tt14803538
Movie,You People,2023,1,tt14826022
Movie,90's Babiez,2023,5,tt14855340
Movie,Texas Grit,2023,7,tt14856936
Movie,Tramonto a Nord Ovest,2023,2,tt14864476
Movie,Candlewood,2023,,tt14868932
Movie,HangMan's Elm,2023,8,tt14880716
Movie,Satyaprem Ki Katha,2023,6,tt14914988
Movie,Living Hell,Desconocido,Desconocido,tt14928610
Movie,Wayward Sons,2023,11,tt14927264
Movie,A Small Town Christmas,2023,12,tt14960442
Movie,First Nights,2023,12,tt14979412
Movie,Rocky Aur Rani Ki Prem Kahani,2023,7,tt14993250
Movie,The Fearway,2023,2,tt14992524
Movie,Not Funny: The Movie,2023,12,tt14996762
Movie,FOG,2023,,tt15003962
Movie,Exodus,2023,3,tt15021154
Movie,80 Proof,2023,3,tt15022440
Movie,Love in Isolation,2023,2,tt15043302
Movie,Hajjan,2024,,tt15048870
Movie,John Burrows,2023,3,tt15056712
Movie,The Final Sunset,2023,12,tt15061428
Movie,ROSE BOWL: America's Stadium,2023,10,tt15063958
Movie,Winnie Pooh Blood and Thunder,2023,10,tt15070886
Movie,Untitled Noah Popejoy Isekai Series,2023,,tt15084004
Movie,"Mon chat et moi, la grande aventure de Rroû",2023,4,tt15097144
Movie,Love Is Not Enduring,2023,1,tt15120452
Movie,My World,2023,12,tt15121090
Movie,Witchblossom,2023,1,tt15132576
Movie,The Inn Between,2023,1,tt15140778
Movie,Fast & Furious: A Fan-Film,2023,8,tt15145972
Movie,Vida perra,2023,9,tt15153532
Movie,Let's Meet Halfway,2023,1,tt15157072
Movie,The Shatter Man,2023,2,tt15156794
Movie,Jealousy,2023,,tt15167210
Movie,Doctor Bakshi,2023,1,tt15169774
Movie,Divine Souls: Forever Young,2023,5,tt15174922
Movie,Eden II,2023,10,tt15180622
Movie,Jade Brooks Must Die!,2023,6,tt15179658
Movie,Chort,2023,9,tt15199510
Movie,Me Quiere No Me Quiere,2023,2,tt15208330
Movie,Tú y Yo en Queens,2023,,tt15209090
Movie,Fuck Them All!,2023,10,tt15212880
Movie,Hela bilden,2023,4,tt15211018
Movie,The Forbidden Kingdom,2023,7,tt15214852
Movie,Andra akten,2023,2,tt15216170
Movie,Crystal Lake,2023,,tt15219326
Movie,Holbrook Boys,2023,,tt15226268
Movie,En dag kommer allt det här bli ditt,2023,2,tt15282128
Movie,Hadik,2023,3,tt15299406
Movie,Gerçek Cinler 2,2023,3,tt15299730
Movie,Rudhran,2023,4,tt15303192
Movie,Ehrengard,2023,,tt15334484
Movie,"Generation Ecstasy: Club Lavela, Atlanta's Southside Boys, and the Feds",2023,,tt15340262
Movie,Kos,2023,10,tt15341416
Movie,Ill Intent,2023,4,tt15337140
Movie,Let the Party Begin,2023,5,tt15361650
Movie,Gaza,2023,12,tt15381772
Movie,Oppenheimer,2023,7,tt15398776
Movie,Den første julen i Skomakergata,2023,11,tt15400448
Movie,Jasmine,2023,3,tt15403280
Movie,Historias de Hotel,2023,10,tt15406258
Movie,Woods Witch,2023,,tt15405486
Movie,Nigah Marda Ayi Ve,2023,3,tt15422336
Movie,Ride On,2023,4,tt15430628
Movie,Talos: The Dark Lords of Xibalba,2023,,tt15429366
Movie,The 3rd Channel,2023,10,tt15432854
Movie,Bravado,2023,1,tt15438508
Movie,The Blood Priestess,2023,1,tt15444432
Movie,White Blood,2023,12,tt15458072
Movie,Stronghold,2023,8,tt15470654
Movie,Spider-Man: Bad Reputation,2023,11,tt15477560
Movie,True Love Inc,2023,6,tt15478396
Movie,Storm,2023,1,tt15482240
Movie,Death Tale,2023,7,tt15483970
Movie,Desapega!,2023,2,tt15489762
Movie,Como Dios manda,2023,6,tt15502664
Movie,Die drei ??? - Erbe des Drachen,2023,1,tt15512578
Movie,Tedor Anomaly,2023,2,tt15513360
Movie,¡Vaya vacaciones!,2023,4,tt15523334
Movie,Ovuda ce proci put,2023,11,tt15527576
Movie,The Plough,2023,9,tt15531718
Movie,Zomer in Frankrijk,2023,4,tt15535192
Movie,Zindagi Shatranj Hai,2023,1,tt15545626
Movie,Non ti fermare mai,2023,6,tt15545392
Movie,Fists of Justice,2023,6,tt15559402
Movie,Sobreviviendo Mis XV,2023,9,tt15565710
Movie,Big Fun,2023,5,tt15590834
Movie,Vicino al Verbo,2023,4,tt15595576
Movie,Baslangiç: Ye'cüc Me'cüc,2023,,tt15600616
Movie,The Obstacle,2023,4,tt15614148
Movie,Los Domirriqueños 3,2023,9,tt15656662
Movie,Return of the Dark,2023,7,tt15673502
Movie,Knock at the Cabin,2023,2,tt15679400
Movie,Remnant,2023,12,tt15691488
Movie,Vaarta Re Vaarta,2023,2,tt15693698
Movie,Eternal Theater,2023,12,tt1650016
Movie,Dreams of Darkness,2023,12,tt2478478
Movie,Dungeons & Dragons: Ehre unter Dieben,2023,3,tt2906216
Movie,Konstantin & Miss Divine,2023,1,tt2933106
Movie,Merrily,2023,11,tt3178184
Movie,Intentions,2023,3,tt3283066
Movie,The Last Deal,2023,2,tt3326138
Movie,129,2023,3,tt3566610
Movie,The Devil's Hammer,2023,10,tt3832470
Movie,Plymouth,2023,12,tt3879108
Movie,A Little White Lie,2023,3,tt4225012
Movie,Out for Vengeance,2023,9,tt4303846
Movie,After the Thunderstorm,2023,12,tt4364582
Movie,Penance,2023,12,tt4565954
Movie,Cvrcak i mravica,2024,3,tt4581522
Movie,There Is No Sanctuary,2023,10,tt4918142
Movie,Hurry Scurry,2023,12,tt4985164
Movie,King Saud,2023,3,tt4994716
Movie,Arisen Redemption,2023,8,tt5009092
Movie,Transformers: Rise of the Beasts,2023,6,tt5090568
Movie,La Pura Vida,2023,8,tt5124794
Movie,Famous,2023,1,tt5240674
Movie,Someone Dies Tonight,2023,12,tt5293310
Movie,Taeter Burger,2023,10,tt5776252
Movie,Star Wars: Fate of the Force,2023,5,tt5893180
Movie,A Little Resistance,2023,11,tt5936674
Movie,The Little Mermaid,2023,5,tt5971474
Movie,Mascotte,2023,2,tt6039708
Movie,The Hard Time Zoo,2023,12,tt6131156
Movie,Wonka,2023,12,tt6166392
Movie,Wormwood: A German Expressionistic Dystopia,2023,12,tt6250276
Movie,Migration,2023,12,tt6495056
Movie,"Gone, Gone, Jack!",2023,11,tt6499514
Movie,The Super Mario Bros. Movie,2023,4,tt6718170
Movie,Jeff the Policeman Movie,2023,9,tt7713452
Movie,Mercy & Compassion,2023,3,tt16793230
Movie,Reptchild,2023,10,tt15779976
Movie,Purebloods,2023,10,tt15873982
Movie,Aquaman a ztracené království,2023,12,tt9663764
Movie,His Name is Jeremiah,2023,,tt8907452
Movie,L'Absente,2023,9,tt7555762
Movie,The Strays,2023,2,tt16437278
Movie,JFK Jr.,2023,10,tt6850698
Movie,The Terror of Bigfoot,2023,10,tt15942990
Movie,Statica,2023,3,tt7984562
Movie,With an Open Heart,2023,12,tt16161286
Movie,Brooklyn 45,2023,6,tt16431882
Movie,The Mother,2023,5,tt6968614
Movie,Commandeered,2023,8,tt16585876
Movie,Heavy Duty Man,2023,12,tt16429084
Movie,Serve with Pride,2023,6,tt16265482
Movie,Yaneura no Raja,2023,12,tt16369708
Movie,Trail Blazers: The Conquest,2023,,tt15716002
Movie,Assassin Club,2023,7,tt7720142
Movie,End of Loyalty,2023,3,tt15811964
Movie,The Old Way,2023,6,tt8593824
Movie,Blue Beetle,2023,8,tt9362930
Movie,Lost Weekend,2023,12,tt16085546
Movie,Old Man Jackson,2023,6,tt7197162
Movie,Cuando acecha la maldad,2023,10,tt16300962
Movie,Romance in Lacuna,2023,10,tt16233550
