Nombre Película,Nombre Actor,Conocido por,Año nacimiento,Profesiones,Premios
L'enfance du mal,Anaïs Demoustier,"[""L'enfance du mal"", 'Las nieves del Kilimanjaro']",1987,"Reparto, Música, Banda sonora",N/A
L'enfance du mal,Pascal Greggory,"['La vida en rosa: Edith Piaf', 'Pauline en la playa']",1954,"Reparto, Guion",N/A
L'enfance du mal,Ludmila Mikaël,"['Un hombre que duerme', 'Boda blanca']",1947,Reparto,N/A
L'enfance du mal,Sylvain Dieuaide,"['Conversation avec un épouvantail', ""Vous n'avez encore rien vu""]",N/A,"Reparto, Dirección, Guion",N/A
L'enfance du mal,Aurélia Petit,"['La ciencia del sueño', 'Personal Shopper']",N/A,"Reparto, Equipos adicionales",N/A
L'enfance du mal,Jacky Lambert,"['JCVD', ""Ça m'est égal si demain n'arrive pas""]",N/A,"Reparto, Composición, Guion",N/A
L'enfance du mal,Hubert Saint-Macary,"['The Bourne Identity: El caso Bourne', 'Indochina']",1949,Reparto,N/A
L'enfance du mal,Catherine Benguigui,"['Midnight in Paris', 'La novena puerta']",N/A,Reparto,N/A
L'enfance du mal,Jacques Nourdin,"[""L'enfance du mal"", 'Astrakan']",N/A,Reparto,N/A
L'enfance du mal,Hassan Koubba,"['P.J.', 'Beur sur la ville']",1973,"Reparto, Dirección de la segunda unidad o asistencia a dirección, Producción",N/A
